i,t,m,j,Expenditure
1010101601002,2015-16,Tigray,Horsebeans,15
1010101601002,2015-16,Tigray,Oils,4
1010101601002,2015-16,Tigray,Onion,6
1010101601002,2015-16,Tigray,Tomato,7
1010101601017,2015-16,Tigray,Eggs,12
1010101601017,2015-16,Tigray,Horsebeans,60
1010101601017,2015-16,Tigray,Onion,12
1010101601017,2015-16,Tigray,Tea,25
1010101601017,2015-16,Tigray,Tomato,10
1010101601034,2015-16,Tigray,Berbere,15
1010101601034,2015-16,Tigray,Coffee,20
1010101601034,2015-16,Tigray,Horsebeans,15
1010101601034,2015-16,Tigray,Oils,9
1010101601034,2015-16,Tigray,Onion,7
1010101601034,2015-16,Tigray,Salt,2.5
1010101601034,2015-16,Tigray,Sugar,100
1010101601034,2015-16,Tigray,Tomato,12
1010101601049,2015-16,Tigray,Berbere,15
1010101601049,2015-16,Tigray,Coffee,20
1010101601049,2015-16,Tigray,Horsebeans,15
1010101601049,2015-16,Tigray,Onion,7
1010101601049,2015-16,Tigray,Salt,2.5
1010101601049,2015-16,Tigray,Sorghum,120
1010101601049,2015-16,Tigray,Sugar,20
1010101601049,2015-16,Tigray,Tomato,14
1010101601064,2015-16,Tigray,Beef,100
1010101601064,2015-16,Tigray,Berbere,25
1010101601064,2015-16,Tigray,Coffee,20
1010101601064,2015-16,Tigray,Horsebeans,30
1010101601064,2015-16,Tigray,Leafy Greens,4
1010101601064,2015-16,Tigray,Oils,16
1010101601064,2015-16,Tigray,Onion,7
1010101601064,2015-16,Tigray,Salt,2.5
1010101601064,2015-16,Tigray,Soda,10
1010101601064,2015-16,Tigray,Sugar,10
1010101601064,2015-16,Tigray,Tella,4
1010101601064,2015-16,Tigray,Tomato,12
1010101601080,2015-16,Tigray,Beer,120
1010101601080,2015-16,Tigray,Berbere,20
1010101601080,2015-16,Tigray,Coffee,11
1010101601080,2015-16,Tigray,Horsebeans,60
1010101601080,2015-16,Tigray,Injera,40
1010101601080,2015-16,Tigray,Kariya,5
1010101601080,2015-16,Tigray,Leafy Greens,5
1010101601080,2015-16,Tigray,Oils,27
1010101601080,2015-16,Tigray,Onion,14
1010101601080,2015-16,Tigray,Potato,14
1010101601080,2015-16,Tigray,Sorghum,70
1010101601080,2015-16,Tigray,Sugar,12
1010101601080,2015-16,Tigray,Tomato,28
1010101601087,2015-16,Tigray,Berbere,17
1010101601087,2015-16,Tigray,Coffee,25
1010101601087,2015-16,Tigray,Horsebeans,30
1010101601087,2015-16,Tigray,Oils,11
1010101601087,2015-16,Tigray,Onion,12
1010101601087,2015-16,Tigray,Salt,2.5
1010101601087,2015-16,Tigray,Sorghum,45
1010101601087,2015-16,Tigray,Sugar,9
1010101601087,2015-16,Tigray,Tella,20
1010101601087,2015-16,Tigray,Tomato,10
1010101601101,2015-16,Tigray,Beef,500
1010101601101,2015-16,Tigray,Coffee,20
1010101601101,2015-16,Tigray,Kariya,2
1010101601101,2015-16,Tigray,Leafy Greens,5
1010101601101,2015-16,Tigray,Oils,9
1010101601101,2015-16,Tigray,Onion,7
1010101601101,2015-16,Tigray,Salt,1.5
1010101601101,2015-16,Tigray,Soda,10
1010101601101,2015-16,Tigray,Sugar,10
1010101601101,2015-16,Tigray,Tomato,6
1010101601116,2015-16,Tigray,Berbere,35
1010101601116,2015-16,Tigray,Coffee,23
1010101601116,2015-16,Tigray,Kariya,10
1010101601116,2015-16,Tigray,Oils,9
1010101601116,2015-16,Tigray,Onion,13
1010101601116,2015-16,Tigray,Salt,3
1010101601131,2015-16,Tigray,Beef,100
1010101601131,2015-16,Tigray,Bread/biscuit,20
1010101601131,2015-16,Tigray,Chick Pea,50
1010101601131,2015-16,Tigray,Coffee,45
1010101601131,2015-16,Tigray,Goat & mutton meat,225
1010101601131,2015-16,Tigray,Horsebeans,45
1010101601131,2015-16,Tigray,Kariya,5
1010101601131,2015-16,Tigray,Leafy Greens,5
1010101601131,2015-16,Tigray,Oils,27
1010101601131,2015-16,Tigray,Onion,14
1010101601131,2015-16,Tigray,Potato,14
1010101601131,2015-16,Tigray,Salt,1.25
1010101601131,2015-16,Tigray,Soda,10
1010101601131,2015-16,Tigray,Sugar,20
1010101601131,2015-16,Tigray,Tomato,14
1010101601146,2015-16,Tigray,Beef,45
1010101601146,2015-16,Tigray,Coffee,25
1010101601146,2015-16,Tigray,Horsebeans,30
1010101601146,2015-16,Tigray,Oils,15
1010101601146,2015-16,Tigray,Onion,14
1010101601146,2015-16,Tigray,Salt,2.5
1010101601146,2015-16,Tigray,Sugar,15
1010101601146,2015-16,Tigray,Tomato,6
1010201403001,2015-16,Tigray,Beef,300
1010201403001,2015-16,Tigray,Coffee,20
1010201403001,2015-16,Tigray,Goat & mutton meat,100
1010201403001,2015-16,Tigray,Oils,11
1010201403001,2015-16,Tigray,Onion,10
1010201403001,2015-16,Tigray,Salt,4
1010201403001,2015-16,Tigray,Sugar,10
1010201403001,2015-16,Tigray,Tomato,8
1010201403011,2015-16,Tigray,Chick Pea,28
1010201403011,2015-16,Tigray,Coffee,25
1010201403011,2015-16,Tigray,Oils,10
1010201403016,2015-16,Tigray,Berbere,40
1010201403016,2015-16,Tigray,Coffee,20
1010201403016,2015-16,Tigray,Goat & mutton meat,300
1010201403016,2015-16,Tigray,Oils,12
1010201403016,2015-16,Tigray,Onion,10
1010201403016,2015-16,Tigray,Salt,4
1010201403016,2015-16,Tigray,Sugar,12
1010201403026,2015-16,Tigray,Coffee,25
1010201403026,2015-16,Tigray,Onion,5
1010201403026,2015-16,Tigray,Salt,5
1010201403026,2015-16,Tigray,Sugar,15
1010201403031,2015-16,Tigray,Banana,6
1010201403031,2015-16,Tigray,Beef,50
1010201403031,2015-16,Tigray,Coffee,20
1010201403031,2015-16,Tigray,Goat & mutton meat,50
1010201403031,2015-16,Tigray,Oils,10
1010201403031,2015-16,Tigray,Onion,10
1010201403031,2015-16,Tigray,Salt,8
1010201403031,2015-16,Tigray,Sugar,7
1010201403036,2015-16,Tigray,Berbere,15
1010201403036,2015-16,Tigray,Chick Pea,60
1010201403036,2015-16,Tigray,Coffee,20
1010201403036,2015-16,Tigray,Oils,10
1010201403036,2015-16,Tigray,Onion,12
1010201403036,2015-16,Tigray,Salt,4.5
1010201403036,2015-16,Tigray,Sugar,14
1010201403036,2015-16,Tigray,Tomato,10
1010201403046,2015-16,Tigray,Berbere,10
1010201403046,2015-16,Tigray,Coffee,20
1010201403046,2015-16,Tigray,Onion,12
1010201403046,2015-16,Tigray,Salt,4
1010201403046,2015-16,Tigray,Sugar,10
1010201403061,2015-16,Tigray,Coffee,20
1010201403061,2015-16,Tigray,Oils,27
1010201403061,2015-16,Tigray,Onion,10
1010201403061,2015-16,Tigray,Salt,4
1010201403061,2015-16,Tigray,Tomato,8
1010201403091,2015-16,Tigray,Coffee,20
1010201403091,2015-16,Tigray,Kariya,4
1010201403091,2015-16,Tigray,Leafy Greens,10
1010201403091,2015-16,Tigray,Lentils,40
1010201403091,2015-16,Tigray,Oils,10
1010201403091,2015-16,Tigray,Onion,12
1010201403091,2015-16,Tigray,Salt,4
1010201403091,2015-16,Tigray,Sugar,17
1010201403091,2015-16,Tigray,Tomato,8
1010201403106,2015-16,Tigray,Coffee,20
1010201403106,2015-16,Tigray,Oils,14
1010201403106,2015-16,Tigray,Onion,12
1010201403106,2015-16,Tigray,Salt,4.5
1010201403106,2015-16,Tigray,Sugar,4.25
1010201403106,2015-16,Tigray,Tomato,8
1010201403121,2015-16,Tigray,Chick Pea,30
1010201403121,2015-16,Tigray,Coffee,25
1010201403121,2015-16,Tigray,Oils,12
1010201403121,2015-16,Tigray,Onion,12
1010201403121,2015-16,Tigray,Salt,4.5
1010201403121,2015-16,Tigray,Sugar,15
1010201403136,2015-16,Tigray,Banana,2
1010201403136,2015-16,Tigray,Beef,22
1010201403136,2015-16,Tigray,Coffee,20
1010201403136,2015-16,Tigray,Onion,5
1010201403136,2015-16,Tigray,Salt,4
1010300106004,2015-16,Tigray,Banana,6
1010300106004,2015-16,Tigray,Berbere,17.5
1010300106004,2015-16,Tigray,Butter/ghee,10
1010300106004,2015-16,Tigray,Eggs,10
1010300106004,2015-16,Tigray,Field Pea,8
1010300106004,2015-16,Tigray,Horsebeans,8
1010300106004,2015-16,Tigray,Kariya,2
1010300106004,2015-16,Tigray,Maize,4.5
1010300106004,2015-16,Tigray,Oils,3
1010300106004,2015-16,Tigray,Onion,10
1010300106004,2015-16,Tigray,Orange,6.25
1010300106004,2015-16,Tigray,Potato,12
1010300106004,2015-16,Tigray,Salt,1.75
1010300106004,2015-16,Tigray,Teff,16
1010300106004,2015-16,Tigray,Tomato,5
1010300106004,2015-16,Tigray,Wheat,4.5
1010300106016,2015-16,Tigray,Beer,48
1010300106016,2015-16,Tigray,Berbere,17
1010300106016,2015-16,Tigray,Coffee,20
1010300106016,2015-16,Tigray,Field Pea,8
1010300106016,2015-16,Tigray,Horsebeans,8
1010300106016,2015-16,Tigray,Oils,12
1010300106016,2015-16,Tigray,Onion,10
1010300106016,2015-16,Tigray,Salt,1.75
1010300106016,2015-16,Tigray,Sorghum,8
1010300106016,2015-16,Tigray,Sugar,5
1010300106016,2015-16,Tigray,Tea,5
1010300106016,2015-16,Tigray,Teff,16
1010300106016,2015-16,Tigray,Tella,20
1010300106040,2015-16,Tigray,Barley,36
1010300106040,2015-16,Tigray,Beef,50
1010300106040,2015-16,Tigray,Berbere,17.5
1010300106040,2015-16,Tigray,Butter/ghee,10
1010300106040,2015-16,Tigray,Eggs,12.5
1010300106040,2015-16,Tigray,Field Pea,8
1010300106040,2015-16,Tigray,Goat & mutton meat,50
1010300106040,2015-16,Tigray,Kariya,7.5
1010300106040,2015-16,Tigray,Leafy Greens,2
1010300106040,2015-16,Tigray,Lentils,10
1010300106040,2015-16,Tigray,Maize,4
1010300106040,2015-16,Tigray,Milk,24
1010300106040,2015-16,Tigray,Millet,96
1010300106040,2015-16,Tigray,Oils,3
1010300106040,2015-16,Tigray,Onion,10
1010300106040,2015-16,Tigray,Pasta/Macaroni,20
1010300106040,2015-16,Tigray,Potato,12
1010300106040,2015-16,Tigray,Salt,1.75
1010300106040,2015-16,Tigray,Sugar,5
1010300106040,2015-16,Tigray,Tea,4
1010300106040,2015-16,Tigray,Teff,16
1010300106040,2015-16,Tigray,Tella,10
1010300106040,2015-16,Tigray,Tomato,5
1010300106052,2015-16,Tigray,Banana,5
1010300106052,2015-16,Tigray,Beef,100
1010300106052,2015-16,Tigray,Berbere,3.5
1010300106052,2015-16,Tigray,Bread/biscuit,10
1010300106052,2015-16,Tigray,Butter/ghee,10
1010300106052,2015-16,Tigray,Chat/Kat,60
1010300106052,2015-16,Tigray,Coffee,20
1010300106052,2015-16,Tigray,Field Pea,7.5
1010300106052,2015-16,Tigray,Horsebeans,8
1010300106052,2015-16,Tigray,Oils,12
1010300106052,2015-16,Tigray,Onion,10
1010300106052,2015-16,Tigray,Salt,1.75
1010300106052,2015-16,Tigray,Sugar,20
1010300106052,2015-16,Tigray,Tea,4
1010300106052,2015-16,Tigray,Teff,64
1010300106052,2015-16,Tigray,Tomato,2
1010300106064,2015-16,Tigray,Barley,48
1010300106064,2015-16,Tigray,Beef,50
1010300106064,2015-16,Tigray,Berbere,17.5
1010300106064,2015-16,Tigray,Butter/ghee,10
1010300106064,2015-16,Tigray,Coffee,10
1010300106064,2015-16,Tigray,Eggs,10
1010300106064,2015-16,Tigray,Field Pea,8
1010300106064,2015-16,Tigray,Horsebeans,8
1010300106064,2015-16,Tigray,Leafy Greens,2
1010300106064,2015-16,Tigray,Millet,600
1010300106064,2015-16,Tigray,Oils,3
1010300106064,2015-16,Tigray,Onion,10
1010300106064,2015-16,Tigray,Potato,12
1010300106064,2015-16,Tigray,Salt,1.75
1010300106064,2015-16,Tigray,Sorghum,9
1010300106064,2015-16,Tigray,Sugar,5
1010300106064,2015-16,Tigray,Teff,15
1010300106064,2015-16,Tigray,Tella,8
1010300106064,2015-16,Tigray,Tomato,5
1010300106076,2015-16,Tigray,Berbere,8
1010300106076,2015-16,Tigray,Butter/ghee,10
1010300106076,2015-16,Tigray,Coffee,12.5
1010300106076,2015-16,Tigray,Field Pea,5
1010300106076,2015-16,Tigray,Horsebeans,8
1010300106076,2015-16,Tigray,Kariya,4
1010300106076,2015-16,Tigray,Maize,4
1010300106076,2015-16,Tigray,Oils,6
1010300106076,2015-16,Tigray,Onion,5
1010300106076,2015-16,Tigray,Salt,1.75
1010300106076,2015-16,Tigray,Sugar,5
1010300106076,2015-16,Tigray,Teff,30
1010300106088,2015-16,Tigray,Berbere,35
1010300106088,2015-16,Tigray,Coffee,25
1010300106088,2015-16,Tigray,Field Pea,7.5
1010300106088,2015-16,Tigray,Horsebeans,8
1010300106088,2015-16,Tigray,Kariya,8.75
1010300106088,2015-16,Tigray,Lentils,8
1010300106088,2015-16,Tigray,Oils,12
1010300106088,2015-16,Tigray,Onion,24
1010300106088,2015-16,Tigray,Potato,24
1010300106088,2015-16,Tigray,Salt,1.75
1010300106088,2015-16,Tigray,Sugar,10
1010300106088,2015-16,Tigray,Tea,4
1010300106088,2015-16,Tigray,Teff,50
1010300106088,2015-16,Tigray,Tomato,10
1010300106088,2015-16,Tigray,Wheat,112
1010300106100,2015-16,Tigray,Beer,144
1010300106100,2015-16,Tigray,Berbere,17
1010300106100,2015-16,Tigray,Coffee,12.5
1010300106100,2015-16,Tigray,Eggs,45
1010300106100,2015-16,Tigray,Field Pea,10
1010300106100,2015-16,Tigray,Goat & mutton meat,150
1010300106100,2015-16,Tigray,Horsebeans,16
1010300106100,2015-16,Tigray,Kariya,4
1010300106100,2015-16,Tigray,Leafy Greens,6
1010300106100,2015-16,Tigray,Maize,4
1010300106100,2015-16,Tigray,Oils,12
1010300106100,2015-16,Tigray,Onion,30
1010300106100,2015-16,Tigray,Pasta/Macaroni,22
1010300106100,2015-16,Tigray,Potato,12
1010300106100,2015-16,Tigray,Poultry,70
1010300106100,2015-16,Tigray,Salt,1.75
1010300106100,2015-16,Tigray,Sugar,10
1010300106100,2015-16,Tigray,Tea,4
1010300106100,2015-16,Tigray,Teff,32
1010300106100,2015-16,Tigray,Tomato,8
1010300106112,2015-16,Tigray,Barley,20
1010300106112,2015-16,Tigray,Berbere,17
1010300106112,2015-16,Tigray,Coffee,2
1010300106112,2015-16,Tigray,Eggs,35
1010300106112,2015-16,Tigray,Field Pea,7.5
1010300106112,2015-16,Tigray,Horsebeans,8
1010300106112,2015-16,Tigray,Kariya,4
1010300106112,2015-16,Tigray,Leafy Greens,9
1010300106112,2015-16,Tigray,Maize,6
1010300106112,2015-16,Tigray,Millet,7
1010300106112,2015-16,Tigray,Oils,6
1010300106112,2015-16,Tigray,Onion,10
1010300106112,2015-16,Tigray,Potato,24
1010300106112,2015-16,Tigray,Salt,20
1010300106112,2015-16,Tigray,Sugar,1.75
1010300106112,2015-16,Tigray,Tomato,15
1010300106124,2015-16,Tigray,Banana,12
1010300106124,2015-16,Tigray,Beer,60
1010300106124,2015-16,Tigray,Berbere,30
1010300106124,2015-16,Tigray,Bread/biscuit,35
1010300106124,2015-16,Tigray,Field Pea,8
1010300106124,2015-16,Tigray,Horsebeans,8
1010300106124,2015-16,Tigray,Injera,280
1010300106124,2015-16,Tigray,Kariya,3
1010300106124,2015-16,Tigray,Leafy Greens,2
1010300106124,2015-16,Tigray,Oils,16
1010300106124,2015-16,Tigray,Onion,10
1010300106124,2015-16,Tigray,Salt,1.75
1010300106124,2015-16,Tigray,Soda,20
1010300106124,2015-16,Tigray,Sugar,10
1010300106124,2015-16,Tigray,Tea,2.5
1010300106124,2015-16,Tigray,Teff,32
1010300106124,2015-16,Tigray,Tella,20
1010300106124,2015-16,Tigray,Tomato,5
1010300106136,2015-16,Tigray,Barley,12
1010300106136,2015-16,Tigray,Beef,100
1010300106136,2015-16,Tigray,Beer,120
1010300106136,2015-16,Tigray,Berbere,35
1010300106136,2015-16,Tigray,Coffee,10
1010300106136,2015-16,Tigray,Field Pea,16
1010300106136,2015-16,Tigray,Goat & mutton meat,50
1010300106136,2015-16,Tigray,Horsebeans,16
1010300106136,2015-16,Tigray,Linseed,7.5
1010300106136,2015-16,Tigray,Maize,13
1010300106136,2015-16,Tigray,Millet,60
1010300106136,2015-16,Tigray,Oils,6
1010300106136,2015-16,Tigray,Onion,10
1010300106136,2015-16,Tigray,Salt,1.75
1010300106136,2015-16,Tigray,Sugar,5
1010300106136,2015-16,Tigray,Teff,24
1010300106136,2015-16,Tigray,Tella,50
1010301804004,2015-16,Tigray,Salt,2
1010301804019,2015-16,Tigray,Salt,2
1010301804034,2015-16,Tigray,Berbere,5
1010301804034,2015-16,Tigray,Onion,7
1010301804034,2015-16,Tigray,Salt,2
1010301804034,2015-16,Tigray,Sugar,
1010301804034,2015-16,Tigray,Tella,4
1010301804049,2015-16,Tigray,Coffee,5
1010301804049,2015-16,Tigray,Onion,6
1010301804049,2015-16,Tigray,Tomato,8
1010301804051,2015-16,Tigray,Beer,120
1010301804051,2015-16,Tigray,Berbere,15
1010301804051,2015-16,Tigray,Field Pea,39
1010301804051,2015-16,Tigray,Leafy Greens,8
1010301804051,2015-16,Tigray,Oils,7
1010301804051,2015-16,Tigray,Onion,6
1010301804051,2015-16,Tigray,Potato,7
1010301804051,2015-16,Tigray,Salt,2
1010301804051,2015-16,Tigray,Soda,60
1010301804051,2015-16,Tigray,Sorghum,30
1010301804051,2015-16,Tigray,Sugar,8
1010301804051,2015-16,Tigray,Tella,24
1010301804069,2015-16,Tigray,Coffee,2
1010301804085,2015-16,Tigray,Oils,30
1010301804085,2015-16,Tigray,Salt,2
1010301804100,2015-16,Tigray,Salt,2
1010301804115,2015-16,Tigray,Berbere,4
1010301804115,2015-16,Tigray,Oils,3
1010301804115,2015-16,Tigray,Onion,3
1010301804115,2015-16,Tigray,Salt,1
1010301804130,2015-16,Tigray,Oils,2
1010301804130,2015-16,Tigray,Onion,3
1010301804130,2015-16,Tigray,Salt,2
1010301804130,2015-16,Tigray,Tomato,4
1010301804145,2015-16,Tigray,Salt,2
1010500204001,2015-16,Tigray,Berbere,80
1010500204001,2015-16,Tigray,Goat & mutton meat,100
1010500204001,2015-16,Tigray,Oils,14
1010500204001,2015-16,Tigray,Onion,20
1010500204001,2015-16,Tigray,Salt,8
1010500204025,2015-16,Tigray,Bread/biscuit,48
1010500204025,2015-16,Tigray,Coffee,86
1010500204025,2015-16,Tigray,Goat & mutton meat,100
1010500204025,2015-16,Tigray,Leafy Greens,6
1010500204025,2015-16,Tigray,Oils,16
1010500204025,2015-16,Tigray,Onion,26
1010500204025,2015-16,Tigray,Salt,8
1010500204025,2015-16,Tigray,Sugar,28
1010500204025,2015-16,Tigray,Tomato,16
1010500204049,2015-16,Tigray,Beef,100
1010500204049,2015-16,Tigray,Coffee,40
1010500204049,2015-16,Tigray,Oils,14
1010500204049,2015-16,Tigray,Onion,18
1010500204049,2015-16,Tigray,Salt,8
1010500204049,2015-16,Tigray,Sugar,30
1010500204049,2015-16,Tigray,Tella,9
1010500204049,2015-16,Tigray,Tomato,16
1010500204073,2015-16,Tigray,Goat & mutton meat,100
1010500204073,2015-16,Tigray,Oils,14
1010500204073,2015-16,Tigray,Onion,16
1010500204073,2015-16,Tigray,Salt,8
1010500204073,2015-16,Tigray,Tomato,10
1010500204097,2015-16,Tigray,Berbere,80
1010500204097,2015-16,Tigray,Coffee,45
1010500204097,2015-16,Tigray,Goat & mutton meat,100
1010500204097,2015-16,Tigray,Oils,23
1010500204097,2015-16,Tigray,Onion,22
1010500204097,2015-16,Tigray,Salt,8
1010500204097,2015-16,Tigray,Sugar,30
1010500204097,2015-16,Tigray,Tomato,12
1010500204121,2015-16,Tigray,Berbere,80
1010500204121,2015-16,Tigray,Coffee,28
1010500204121,2015-16,Tigray,Goat & mutton meat,100
1010500204121,2015-16,Tigray,Oils,14
1010500204121,2015-16,Tigray,Onion,20
1010500204121,2015-16,Tigray,Potato,12
1010500204121,2015-16,Tigray,Salt,8
1010500204121,2015-16,Tigray,Sugar,30
1010500204121,2015-16,Tigray,Tomato,20
1010500204142,2015-16,Tigray,Berbere,80
1010500204142,2015-16,Tigray,Coffee,80
1010500204142,2015-16,Tigray,Leafy Greens,15
1010500204142,2015-16,Tigray,Maize,128
1010500204142,2015-16,Tigray,Oils,24
1010500204142,2015-16,Tigray,Onion,22
1010500204142,2015-16,Tigray,Salt,8
1010500204142,2015-16,Tigray,Sugar,30
1010500204142,2015-16,Tigray,Teff,420
1010500204142,2015-16,Tigray,Tomato,20
1010500204145,2015-16,Tigray,Beef,100
1010500204145,2015-16,Tigray,Beer,65
1010500204145,2015-16,Tigray,Berbere,60
1010500204145,2015-16,Tigray,Bread/biscuit,315
1010500204145,2015-16,Tigray,Coffee,45
1010500204145,2015-16,Tigray,Lentils,50
1010500204145,2015-16,Tigray,Oils,14
1010500204145,2015-16,Tigray,Onion,16
1010500204145,2015-16,Tigray,Salt,8
1010500204145,2015-16,Tigray,Sorghum,60
1010500204145,2015-16,Tigray,Sugar,30
1010500204145,2015-16,Tigray,Tomato,16
1010500204169,2015-16,Tigray,Beef,100
1010500204169,2015-16,Tigray,Berbere,80
1010500204169,2015-16,Tigray,Bread/biscuit,15
1010500204169,2015-16,Tigray,Oils,16
1010500204169,2015-16,Tigray,Onion,26
1010500204169,2015-16,Tigray,Potato,11
1010500204169,2015-16,Tigray,Salt,8
1010500204169,2015-16,Tigray,Sugar,30
1010500204169,2015-16,Tigray,Tea,5
1010500204169,2015-16,Tigray,Tella,6
1010500204169,2015-16,Tigray,Tomato,12
1010500204193,2015-16,Tigray,Beef,50
1010500204193,2015-16,Tigray,Berbere,100
1010500204193,2015-16,Tigray,Coffee,40
1010500204193,2015-16,Tigray,Horsebeans,64
1010500204193,2015-16,Tigray,Oils,20
1010500204193,2015-16,Tigray,Onion,26
1010500204193,2015-16,Tigray,Potato,12
1010500204193,2015-16,Tigray,Salt,8
1010500204193,2015-16,Tigray,Sugar,30
1010500204193,2015-16,Tigray,Tella,8
1010500204193,2015-16,Tigray,Tomato,20
1010500204217,2015-16,Tigray,Coffee,45
1010500204217,2015-16,Tigray,Onion,16
1010500204217,2015-16,Tigray,Salt,8
1010500204217,2015-16,Tigray,Sugar,30
1010500204217,2015-16,Tigray,Tomato,16
1010600402002,2015-16,Tigray,Berbere,80
1010600402002,2015-16,Tigray,Coffee,25
1010600402002,2015-16,Tigray,Oils,25
1010600402002,2015-16,Tigray,Onion,14
1010600402002,2015-16,Tigray,Salt,3
1010600402002,2015-16,Tigray,Tomato,12
1010600402014,2015-16,Tigray,Berbere,15
1010600402014,2015-16,Tigray,Coffee,10
1010600402014,2015-16,Tigray,Salt,1
1010600402021,2015-16,Tigray,Bread/biscuit,2
1010600402021,2015-16,Tigray,Coffee,315
1010600402021,2015-16,Tigray,Oils,50
1010600402021,2015-16,Tigray,Onion,28
1010600402021,2015-16,Tigray,Salt,3
1010600402021,2015-16,Tigray,Sugar,22
1010600402039,2015-16,Tigray,Berbere,80
1010600402039,2015-16,Tigray,Coffee,25
1010600402039,2015-16,Tigray,Oils,24
1010600402039,2015-16,Tigray,Onion,14
1010600402039,2015-16,Tigray,Salt,2
1010600402057,2015-16,Tigray,Berbere,25
1010600402057,2015-16,Tigray,Chick Pea,30
1010600402057,2015-16,Tigray,Coffee,25
1010600402057,2015-16,Tigray,Goat & mutton meat,50
1010600402057,2015-16,Tigray,Onion,15
1010600402057,2015-16,Tigray,Salt,2
1010600402075,2015-16,Tigray,Berbere,60
1010600402075,2015-16,Tigray,Bread/biscuit,2
1010600402075,2015-16,Tigray,Coffee,25
1010600402075,2015-16,Tigray,Salt,3
1010600402075,2015-16,Tigray,Tomato,12
1010600402094,2015-16,Tigray,Chick Pea,30
1010600402094,2015-16,Tigray,Salt,2
1010600402112,2015-16,Tigray,Bread/biscuit,4
1010600402112,2015-16,Tigray,Coffee,25
1010600402112,2015-16,Tigray,Oils,25
1010600402112,2015-16,Tigray,Onion,14
1010600402112,2015-16,Tigray,Salt,2
1010600402130,2015-16,Tigray,Coffee,26
1010600402130,2015-16,Tigray,Oils,25
1010600402130,2015-16,Tigray,Onion,14
1010600402130,2015-16,Tigray,Salt,2
1010600402130,2015-16,Tigray,Sugar,5
1010600402130,2015-16,Tigray,Tomato,20
1010600402148,2015-16,Tigray,Beef,200
1010600402148,2015-16,Tigray,Coffee,25
1010600402148,2015-16,Tigray,Oils,25
1010600402148,2015-16,Tigray,Onion,14
1010600402148,2015-16,Tigray,Salt,2
1010600402148,2015-16,Tigray,Sugar,22
1010600402160,2015-16,Tigray,Berbere,80
1010600402160,2015-16,Tigray,Coffee,25
1010600402167,2015-16,Tigray,Beef,25
1010600402167,2015-16,Tigray,Berbere,20
1010600402167,2015-16,Tigray,Chick Pea,10
1010600402167,2015-16,Tigray,Coffee,25
1010600402167,2015-16,Tigray,Onion,7
1010600402167,2015-16,Tigray,Salt,1
1010600402167,2015-16,Tigray,Tomato,4
1010700116012,2015-16,Tigray,Bread/biscuit,6
1010700116012,2015-16,Tigray,Chick Pea,7.5
1010700116012,2015-16,Tigray,Eggs,12
1010700116012,2015-16,Tigray,Kariya,5
1010700116012,2015-16,Tigray,Leafy Greens,12
1010700116012,2015-16,Tigray,Lentils,10
1010700116012,2015-16,Tigray,Maize,15
1010700116012,2015-16,Tigray,Milk,14
1010700116012,2015-16,Tigray,Oils,25
1010700116012,2015-16,Tigray,Onion,14
1010700116012,2015-16,Tigray,Pasta/Macaroni,14
1010700116012,2015-16,Tigray,Salt,25
1010700116012,2015-16,Tigray,Sorghum,15
1010700116012,2015-16,Tigray,Sugar,2
1010700116012,2015-16,Tigray,Teff,25
1010700116035,2015-16,Tigray,Beer,24
1010700116035,2015-16,Tigray,Berbere,17.5
1010700116035,2015-16,Tigray,Bread/biscuit,17.5
1010700116035,2015-16,Tigray,Coffee,40
1010700116035,2015-16,Tigray,Field Pea,32
1010700116035,2015-16,Tigray,Goat & mutton meat,50
1010700116035,2015-16,Tigray,Kariya,25
1010700116035,2015-16,Tigray,Leafy Greens,4
1010700116035,2015-16,Tigray,Lentils,20
1010700116035,2015-16,Tigray,Milk,14
1010700116035,2015-16,Tigray,Oils,12.5
1010700116035,2015-16,Tigray,Onion,10
1010700116035,2015-16,Tigray,Orange,20
1010700116035,2015-16,Tigray,Pasta/Macaroni,12
1010700116035,2015-16,Tigray,Potato,5
1010700116035,2015-16,Tigray,Poultry,120
1010700116035,2015-16,Tigray,Salt,1.5
1010700116035,2015-16,Tigray,Soda,20
1010700116035,2015-16,Tigray,Sugar,8
1010700116035,2015-16,Tigray,Tea,3
1010700116035,2015-16,Tigray,Teff,50
1010700116035,2015-16,Tigray,Tomato,12
1010700116058,2015-16,Tigray,Banana,12
1010700116058,2015-16,Tigray,Berbere,7.5
1010700116058,2015-16,Tigray,Bread/biscuit,12.5
1010700116058,2015-16,Tigray,Coffee,0.75
1010700116058,2015-16,Tigray,Eggs,15
1010700116058,2015-16,Tigray,Field Pea,20
1010700116058,2015-16,Tigray,Goat & mutton meat,20
1010700116058,2015-16,Tigray,Kariya,4
1010700116058,2015-16,Tigray,Leafy Greens,3
1010700116058,2015-16,Tigray,Oils,27
1010700116058,2015-16,Tigray,Onion,20
1010700116058,2015-16,Tigray,Pasta/Macaroni,5.5
1010700116058,2015-16,Tigray,Poultry,
1010700116058,2015-16,Tigray,Salt,3
1010700116058,2015-16,Tigray,Sugar,19.65
1010700116058,2015-16,Tigray,Tea,2
1010700116058,2015-16,Tigray,Teff,160
1010700116058,2015-16,Tigray,Tella,4
1010700116058,2015-16,Tigray,Tomato,16
1010700116081,2015-16,Tigray,Berbere,17.5
1010700116081,2015-16,Tigray,Bread/biscuit,105
