t,m,j,Expenditure
2016-17,Upper West,Cocoyam Leaves,808.5
2016-17,Upper West,Coffee,120.6
2016-17,Upper West,Condiments,6825.89
2016-17,Upper West,Cowpea,2333.9
2016-17,Upper West,Curry Power,29.2
2016-17,Upper West,Dawadawa,3283.2
2016-17,Upper West,Eggplant,619.9
2016-17,Upper West,Eggs,826.1
2016-17,Upper West,Fish (canned),312.3
2016-17,Upper West,Fish (dried),37
2016-17,Upper West,Fish (fried),183
2016-17,Upper West,Fish (salted),2
2016-17,Upper West,"Fish (smoked, river)",2526
2016-17,Upper West,"Fish (smoked, sea)",297
2016-17,Upper West,Garlic,354.8
2016-17,Upper West,Gin,78.4
2016-17,Upper West,Ginger,418
2016-17,Upper West,Goat,2741
2016-17,Upper West,Grape,2
2016-17,Upper West,Groundnut,1771.9
2016-17,Upper West,Guinea corn/sorghum,3946.7
2016-17,Upper West,Guineafowl,420
2016-17,Upper West,Herring (smoked),16842
2016-17,Upper West,Honey,201
2016-17,Upper West,Ice Cream,11
2016-17,Upper West,Instant Noodle,105
2016-17,Upper West,Juice,157
2016-17,Upper West,Kapla,1070
2016-17,Upper West,Lime,6
2016-17,Upper West,Macaroni,32.5
2016-17,Upper West,Mackerel (processed),459.9
2016-17,Upper West,Maize (flour/dough),1533.5
2016-17,Upper West,Maize (grain),19139.1
2016-17,Upper West,Malt Drinks (bottle),1189.5
2016-17,Upper West,Malt Drinks (canned),204
2016-17,Upper West,Mango,222.5
2016-17,Upper West,Margarine,153
2016-17,Upper West,Milk (evaporated),1712.7
2016-17,Upper West,Milk (fresh),413.5
2016-17,Upper West,Milk (powdered),435.4
2016-17,Upper West,"Milk (tinned, condensed)",59
2016-17,Upper West,Millet,2021.5
2016-17,Upper West,Millet (flour),540.2
2016-17,Upper West,Oil (coconut),4
2016-17,Upper West,Oil (groundnut),643.8
2016-17,Upper West,Oil (palm kernel),61
2016-17,Upper West,Oil (palm),358
2016-17,Upper West,Oil (vegetable),5563.5
2016-17,Upper West,Okra,8678
2016-17,Upper West,Onion,8893.7
2016-17,Upper West,Orange,124
2016-17,Upper West,Other Beverages,256.2
2016-17,Upper West,Other Fish,8634
2016-17,Upper West,Other Fruits,113.5
2016-17,Upper West,Other Meat,3163
2016-17,Upper West,Other Oils,58
2016-17,Upper West,Other Spices,14.1
2016-17,Upper West,Other Spirits,43
2016-17,Upper West,Other Tobacco,28
2016-17,Upper West,Other Tubers,5
2016-17,Upper West,Other Vegetable,2050.28
2016-17,Upper West,Palm Nut,65
2016-17,Upper West,Pawpaw,33
2016-17,Upper West,"Pepper (dried, red)",3771.5
2016-17,Upper West,Pepper (fresh),5241.2
2016-17,Upper West,Pepper (powder),307
2016-17,Upper West,Pineapple,75
2016-17,Upper West,Plantain,209
2016-17,Upper West,Pork,3095.5
2016-17,Upper West,Pork (shoulder),55
2016-17,Upper West,Potato,18
2016-17,Upper West,Rice (imported),7428
2016-17,Upper West,Rice (local),15218.7
2016-17,Upper West,Salmon (smoked),2232.5
2016-17,Upper West,Salt,5361.72
2016-17,Upper West,Shallot,41.2
2016-17,Upper West,Shea Butter,5718.9
2016-17,Upper West,Shrimp,8
2016-17,Upper West,Snail,2
2016-17,Upper West,Soft Drinks,387.9
2016-17,Upper West,Spaghetti,38.5
2016-17,Upper West,Sugar (cubed),383
2016-17,Upper West,Sugar (granulated),7808.25
2016-17,Upper West,Sugar Bread,2940.1
2016-17,Upper West,Sweet Pepper,36
2016-17,Upper West,Tea bag,2319.5
2016-17,Upper West,Tilapia,851
2016-17,Upper West,Tobacco,183
2016-17,Upper West,Tomato (fresh),14616.2
2016-17,Upper West,Tomato (paste),4468.38
2016-17,Upper West,Tuna (processed),17
2016-17,Upper West,Vinegar,3
2016-17,Upper West,Water,1559.75
2016-17,Upper West,Water Yam,138
2016-17,Upper West,Watermelon,266.5
2016-17,Upper West,Wheat Flour,20
2016-17,Upper West,Whisky,83.2
2016-17,Upper West,White Oats,154
2016-17,Upper West,Wine,74.5
2016-17,Upper West,Yam,7042.5
2016-17,Upper West,Yoghurt,24
2016-17,Volta,Agushie Seed,583.8
2016-17,Volta,Akpeteshie,4013.52
2016-17,Volta,Apple,262.7
2016-17,Volta,Avocado,351.6
2016-17,Volta,Banana,2652.7
2016-17,Volta,Beef,8130
2016-17,Volta,Beef (corned),51
2016-17,Volta,Beef (face),38
2016-17,Volta,Beef (leg),443
2016-17,Volta,Beef (offal),300
2016-17,Volta,Beef (steak),2201
2016-17,Volta,Beer,2090.4
2016-17,Volta,Biscuit,2191.98
2016-17,Volta,Bitters,459.6
2016-17,Volta,Bread,5190.76
2016-17,Volta,Canned Fruits,35.5
2016-17,Volta,Carrot,418.5
2016-17,Volta,Cassava (dough),12637
2016-17,Volta,Cassava (dried),2869.9
2016-17,Volta,Cassava (fresh),5614
2016-17,Volta,"Cassava (white, flour)",3894.7
2016-17,Volta,"Cassava (yellow, flour)",175.6
2016-17,Volta,Cerelac (Baby food),720.2
2016-17,Volta,Chewing Gum,130
2016-17,Volta,Chicken (breast),643.5
2016-17,Volta,Chicken (broiler),568
2016-17,Volta,Chicken (frozen),533.5
2016-17,Volta,Chicken (gizzard),150
2016-17,Volta,Chicken (live),2350
2016-17,Volta,Chicken (thigh),8768.4
2016-17,Volta,Chicken (wing),2249.2
2016-17,Volta,Chilli Powder (black pepper),19.9
2016-17,Volta,Chocolate,5
2016-17,Volta,Cigarette,377.4
2016-17,Volta,Cocoa (milk powder beverages),4663.8
2016-17,Volta,Cocoa Powder,56.8
2016-17,Volta,Coconut (dried),2
2016-17,Volta,Coconut (fresh),243.1
2016-17,Volta,Cocoyam,1006
2016-17,Volta,Cocoyam Leaves,2063.59
2016-17,Volta,Coffee,56.5
2016-17,Volta,Condiments,4124.05
2016-17,Volta,Couscous,25.5
2016-17,Volta,Cowpea,4800.45
2016-17,Volta,Crab,418.5
2016-17,Volta,Curry Power,117.6
2016-17,Volta,Dawadawa,88.1
2016-17,Volta,Eggplant,3412.5
2016-17,Volta,Eggs,3356.9
2016-17,Volta,Fish (canned),1086
2016-17,Volta,Fish (dried),2614.5
2016-17,Volta,Fish (fried),6015.6
2016-17,Volta,Fish (salted),476.45
2016-17,Volta,"Fish (smoked, river)",33080.07
2016-17,Volta,"Fish (smoked, sea)",8507.5
2016-17,Volta,Garlic,969.83
2016-17,Volta,Gin,378.7
2016-17,Volta,Ginger,1324.8
2016-17,Volta,Goat,2769.8
2016-17,Volta,Grape,1
2016-17,Volta,Groundnut,3257.4
2016-17,Volta,Guinea corn/sorghum,78
2016-17,Volta,Guineafowl,210
2016-17,Volta,Herring (smoked),16817.4
2016-17,Volta,Honey,354
2016-17,Volta,Ice Cream,147.6
2016-17,Volta,Instant Noodle,439.6
2016-17,Volta,Juice,1003.5
2016-17,Volta,Kapla,4729
2016-17,Volta,Lime,27.5
2016-17,Volta,Macaroni,363
2016-17,Volta,Mackerel (processed),644.8
2016-17,Volta,Maize (flour/dough),6423.9
2016-17,Volta,Maize (grain),19792.65
2016-17,Volta,Maizena,5
2016-17,Volta,Malt Drinks (bottle),1239.7
2016-17,Volta,Malt Drinks (canned),1681.2
2016-17,Volta,Mango,251.35
2016-17,Volta,Margarine,105.3
2016-17,Volta,Milk (evaporated),2403.6
2016-17,Volta,Milk (fresh),73
2016-17,Volta,Milk (powdered),1432.6
2016-17,Volta,"Milk (tinned, condensed)",30.5
2016-17,Volta,Millet,126.5
2016-17,Volta,Millet (flour),3
2016-17,Volta,Oil (coconut),809.9
2016-17,Volta,Oil (groundnut),407
2016-17,Volta,Oil (palm kernel),95
2016-17,Volta,Oil (palm),7492.3
2016-17,Volta,Oil (vegetable),8352.15
2016-17,Volta,Okra,10100.7
2016-17,Volta,Onion,9511.8
2016-17,Volta,Orange,1618.05
2016-17,Volta,Other Beverages,118.2
2016-17,Volta,Other Cereal,30.7
2016-17,Volta,Other Fish,1230.5
2016-17,Volta,Other Fruits,71
2016-17,Volta,Other Meat,1403
2016-17,Volta,Other Milk Products,69.4
2016-17,Volta,Other Oils,89
2016-17,Volta,Other Spices,78.6
2016-17,Volta,Other Spirits,65
2016-17,Volta,Other Tobacco,19
2016-17,Volta,Other Tubers,60
2016-17,Volta,Other Vegetable,809.5
2016-17,Volta,Palm Nut,2321.1
2016-17,Volta,Pawpaw,100.2
2016-17,Volta,"Pepper (dried, red)",2825.3
2016-17,Volta,Pepper (fresh),4496.74
2016-17,Volta,Pepper (powder),1837.9
2016-17,Volta,Pineapple,505
2016-17,Volta,Plantain,4128
2016-17,Volta,Pork,1077
2016-17,Volta,Pork (feet),52
2016-17,Volta,Potato,492
2016-17,Volta,Rice (imported),17315.4
2016-17,Volta,Rice (local),15434
2016-17,Volta,Salmon (smoked),23458
2016-17,Volta,Salt,2713.75
2016-17,Volta,Sausage (beef),81
2016-17,Volta,Sausage (chicken),32.5
2016-17,Volta,Sausage (pork),5
2016-17,Volta,Schnapps,120
2016-17,Volta,Shallot,212.8
2016-17,Volta,Shea Butter,80.2
2016-17,Volta,Shrimp,133
2016-17,Volta,Snail,161
2016-17,Volta,Soft Drinks,2616.4
2016-17,Volta,Spaghetti,508.3
2016-17,Volta,Sugar (cubed),147.9
2016-17,Volta,Sugar (granulated),4970.16
2016-17,Volta,Sugar Bread,11604.1
2016-17,Volta,Sweet Pepper,170
2016-17,Volta,Tea bag,281
2016-17,Volta,Tilapia,5629
2016-17,Volta,Tobacco,63.5
2016-17,Volta,Tomato (fresh),14354.8
2016-17,Volta,Tomato (paste),10630
2016-17,Volta,Tuna (processed),54
2016-17,Volta,Water,7518.47
2016-17,Volta,Water Yam,2081
2016-17,Volta,Watermelon,404.5
2016-17,Volta,Wheat Flour,109.5
2016-17,Volta,Whisky,170
2016-17,Volta,White Oats,360.3
2016-17,Volta,Wine,182.4
2016-17,Volta,Yam,13221.5
2016-17,Volta,Yoghurt,1190.3
2016-17,Western,Agushie Seed,55.5
2016-17,Western,Akpeteshie,1697.9
2016-17,Western,Apple,883.5
2016-17,Western,Avocado,155
2016-17,Western,Banana,1657.7
2016-17,Western,Beef,7751
2016-17,Western,Beef (corned),331
2016-17,Western,Beef (face),30
2016-17,Western,Beef (leg),1258.5
2016-17,Western,Beef (offal),638
2016-17,Western,Beef (steak),2020.4
2016-17,Western,Beer,1027
2016-17,Western,Biscuit,3883.96
2016-17,Western,Bitters,437.3
2016-17,Western,Bread,22625.6
2016-17,Western,Canned Fruits,8
2016-17,Western,Carrot,457.7
2016-17,Western,Cashew,2
2016-17,Western,Cassava (dough),3108.5
2016-17,Western,Cassava (dried),277.2
2016-17,Western,Cassava (fresh),9442.2
2016-17,Western,"Cassava (white, flour)",5880.8
2016-17,Western,"Cassava (yellow, flour)",86
2016-17,Western,Cerelac (Baby food),1773.1
2016-17,Western,Chewing Gum,133.16
2016-17,Western,Chicken (breast),653
2016-17,Western,Chicken (broiler),557.5
2016-17,Western,Chicken (frozen),316
2016-17,Western,Chicken (gizzard),109
2016-17,Western,Chicken (live),2222
2016-17,Western,Chicken (thigh),12303.5
2016-17,Western,Chicken (wing),2228
2016-17,Western,Chocolate,6.5
2016-17,Western,Cigarette,50.5
2016-17,Western,Cocoa (milk powder beverages),5135.8
2016-17,Western,Cocoa Powder,105
2016-17,Western,Coconut (fresh),298
2016-17,Western,Cocoyam,908
2016-17,Western,Cocoyam Leaves,517.75
2016-17,Western,Coffee,126.3
2016-17,Western,Condiments,2802.65
2016-17,Western,Corflake,62
2016-17,Western,Cowpea,593.6
2016-17,Western,Crab,248
2016-17,Western,Curry Power,31.1
2016-17,Western,Dawadawa,55.6
2016-17,Western,Eggplant,5494.5
2016-17,Western,Eggs,5492.1
2016-17,Western,Fish (canned),2491.2
2016-17,Western,Fish (dried),2899.7
2016-17,Western,Fish (fried),2738.6
2016-17,Western,Fish (salted),2540.6
2016-17,Western,"Fish (smoked, river)",7943
2016-17,Western,"Fish (smoked, sea)",38819.1
2016-17,Western,Garlic,524.8
2016-17,Western,Gin,147.5
2016-17,Western,Ginger,501.9
2016-17,Western,Goat,1815
2016-17,Western,Grape,53
2016-17,Western,Groundnut,2088.7
2016-17,Western,Guineafowl,115
2016-17,Western,Herring (smoked),29964.15
2016-17,Western,Honey,370
2016-17,Western,Ice Cream,552.6
2016-17,Western,Instant Noodle,484
2016-17,Western,Juice,2209.4
2016-17,Western,Kapla,10902
2016-17,Western,Lime,7
2016-17,Western,Macaroni,170.7
2016-17,Western,Mackerel (processed),2206.1
2016-17,Western,Maize (flour/dough),8469.3
2016-17,Western,Maize (grain),4332.8
2016-17,Western,Malt Drinks (bottle),2976
2016-17,Western,Malt Drinks (canned),2534.6
2016-17,Western,Mango,207
2016-17,Western,Margarine,75
2016-17,Western,Milk (evaporated),3926.2
2016-17,Western,Milk (fresh),28.2
2016-17,Western,Milk (powdered),2636.5
2016-17,Western,"Milk (tinned, condensed)",67.5
2016-17,Western,Millet,428.8
2016-17,Western,Millet (flour),86
2016-17,Western,Oil (coconut),373.5
2016-17,Western,Oil (groundnut),14.5
2016-17,Western,Oil (palm kernel),12
2016-17,Western,Oil (palm),4929.7
2016-17,Western,Oil (vegetable),11007.7
2016-17,Western,Okra,2323.3
2016-17,Western,Onion,15766.2
2016-17,Western,Orange,1231
2016-17,Western,Other Beverages,121
2016-17,Western,Other Cereal,57
2016-17,Western,Other Fish,2581.7
2016-17,Western,Other Fruits,45
2016-17,Western,Other Meat,2134
2016-17,Western,Other Milk Products,330.5
2016-17,Western,Other Oils,281.5
2016-17,Western,Other Spices,112.2
2016-17,Western,Other Spirits,40
2016-17,Western,Other Tobacco,21
2016-17,Western,Other Tubers,20
2016-17,Western,Other Vegetable,520.6
2016-17,Western,Palm Nut,1869.7
2016-17,Western,Pawpaw,247
2016-17,Western,"Pepper (dried, red)",316.5
2016-17,Western,Pepper (fresh),7959
2016-17,Western,Pepper (powder),1543.1
2016-17,Western,Pineapple,532.4
2016-17,Western,Plantain,10345
2016-17,Western,Pork,217
2016-17,Western,Pork (feet),100
2016-17,Western,Pork (fillet),10
2016-17,Western,Potato,60
2016-17,Western,Rice (imported),47504.84
2016-17,Western,Rice (local),9908.7
2016-17,Western,Salmon (smoked),23096.5
2016-17,Western,Salt,1816.6
2016-17,Western,Sausage (beef),40.5
2016-17,Western,Sausage (chicken),42.2
2016-17,Western,Sausage (pork),15
2016-17,Western,Shallot,47.5
2016-17,Western,Shea Butter,13
2016-17,Western,Shrimp,24
2016-17,Western,Snail,683
2016-17,Western,Soft Drinks,2044.7
2016-17,Western,Spaghetti,87
2016-17,Western,Sugar (cubed),65
2016-17,Western,Sugar (granulated),3080.65
2016-17,Western,Sugar Bread,8549.3
2016-17,Western,Sweet Pepper,168.5
2016-17,Western,Tea bag,161.5
2016-17,Western,Tilapia,1654
2016-17,Western,Tomato (fresh),14689.1
2016-17,Western,Tomato (paste),11993.19
2016-17,Western,Tuna (processed),209.5
2016-17,Western,Water,13023.46
2016-17,Western,Water Yam,3
2016-17,Western,Watermelon,785.5
2016-17,Western,Wheat Flour,273.5
2016-17,Western,Whisky,43
2016-17,Western,White Oats,675.7
2016-17,Western,Wine,91.5
2016-17,Western,Yam,7472.7
2016-17,Western,Yoghurt,1863.8
