t,m,j,u,Price
2015-16,Amhara,Cheese,Kg,23.74999976
2015-16,Amhara,Chick Pea,Kg,22.98779554
2015-16,Amhara,Coffee,Kg,213.0009396
2015-16,Amhara,Eggs,Kg,16.82025968
2015-16,Amhara,Field Pea,Kg,28.24777455
2015-16,Amhara,Fish,Kg,56.95238089
2015-16,Amhara,Goat & mutton meat,Kg,184.9777574
2015-16,Amhara,Godere,Kg,124.9999981
2015-16,Amhara,Ground nuts,Kg,59.15755814
2015-16,Amhara,Haricot Beans,Kg,12.7252648
2015-16,Amhara,Horsebeans,Kg,26.59199441
2015-16,Amhara,Injera,Kg,21.45527645
2015-16,Amhara,Kariya,Kg,15.2939963
2015-16,Amhara,Leafy Greens,Kg,22.12786864
2015-16,Amhara,Lentils,Kg,225.0271445
2015-16,Amhara,Linseed,Kg,28.75862308
2015-16,Amhara,Maize,Kg,6.609729243
2015-16,Amhara,Milk,Kg,18.78021093
2015-16,Amhara,Millet,Kg,9.811261829
2015-16,Amhara,Niger Seed,Kg,22.17034881
2015-16,Amhara,Oils,Kg,44.4604493
2015-16,Amhara,Onion,Kg,10.97251315
2015-16,Amhara,Orange,Kg,14.46581971
2015-16,Amhara,Other cereal,Kg,16.62495882
2015-16,Amhara,Other fruit,Kg,12.11038062
2015-16,Amhara,Other prepared food,Kg,33.0027228
2015-16,Amhara,Other pulse or nut,Kg,21.89237804
2015-16,Amhara,Other seed,Kg,19.35611831
2015-16,Amhara,Other tuber or stem,Kg,20.30354644
2015-16,Amhara,Other vegetable,Kg,14.85388077
2015-16,Amhara,Pasta/Macaroni,Kg,22.2211857
2015-16,Amhara,Potato,Kg,9.044601582
2015-16,Amhara,Poultry,Kg,211.0086753
2015-16,Amhara,Salt,Kg,46.87814956
2015-16,Amhara,Soda,Kg,45.51183468
2015-16,Amhara,Sorghum,Kg,9.986363139
2015-16,Amhara,Sugar,Kg,123.9436203
2015-16,Amhara,Sweet potato,Kg,7.421336653
2015-16,Amhara,Tea,Kg,665.7457781
2015-16,Amhara,Teff,Kg,16.83127638
2015-16,Amhara,Tella,Kg,5.615352205
2015-16,Amhara,Tomato,Kg,10.32621277
2015-16,Amhara,Wheat,Kg,15.85684356
2015-16,Benishangul-Gumuz,Banana,Kg,8.587535396
2015-16,Benishangul-Gumuz,Barley,Kg,26
2015-16,Benishangul-Gumuz,Beef,Kg,93.50845676
2015-16,Benishangul-Gumuz,Beer,Kg,51.26068398
2015-16,Benishangul-Gumuz,Berbere,Kg,49.38616657
2015-16,Benishangul-Gumuz,Bread/biscuit,Kg,9.154807793
2015-16,Benishangul-Gumuz,Butter/ghee,Kg,82.39999715
2015-16,Benishangul-Gumuz,Chat/Kat,Kg,96.96301873
2015-16,Benishangul-Gumuz,Chick Pea,Kg,15
2015-16,Benishangul-Gumuz,Coffee,Kg,65.79589722
2015-16,Benishangul-Gumuz,Eggs,Kg,15.37499946
2015-16,Benishangul-Gumuz,Field Pea,Kg,26.41025593
2015-16,Benishangul-Gumuz,Fish,Kg,40
2015-16,Benishangul-Gumuz,Goat & mutton meat,Kg,114.462685
2015-16,Benishangul-Gumuz,Godere,Kg,2.21238939
2015-16,Benishangul-Gumuz,Ground nuts,Kg,20.30862257
2015-16,Benishangul-Gumuz,Haricot Beans,Kg,13.09472687
2015-16,Benishangul-Gumuz,Horsebeans,Kg,23.30406473
2015-16,Benishangul-Gumuz,Injera,Kg,41.98479596
2015-16,Benishangul-Gumuz,Kariya,Kg,10.14553013
2015-16,Benishangul-Gumuz,Leafy Greens,Kg,10.97236772
2015-16,Benishangul-Gumuz,Lentils,Kg,39.29437168
2015-16,Benishangul-Gumuz,Linseed,Kg,26.31313135
2015-16,Benishangul-Gumuz,Maize,Kg,4.586697896
2015-16,Benishangul-Gumuz,Milk,Kg,33.98058248
2015-16,Benishangul-Gumuz,Millet,Kg,6.820855583
2015-16,Benishangul-Gumuz,Niger Seed,Kg,28.48376213
2015-16,Benishangul-Gumuz,Oils,Kg,31.37103371
2015-16,Benishangul-Gumuz,Onion,Kg,11.78782809
2015-16,Benishangul-Gumuz,Orange,Kg,5.086307127
2015-16,Benishangul-Gumuz,Other fruit,Kg,8.087606625
2015-16,Benishangul-Gumuz,Other prepared food,Kg,12.58422944
2015-16,Benishangul-Gumuz,Other pulse or nut,Kg,20.66021507
2015-16,Benishangul-Gumuz,Other seed,Kg,6.840108867
2015-16,Benishangul-Gumuz,Other vegetable,Kg,23.33333241
2015-16,Benishangul-Gumuz,Pasta/Macaroni,Kg,20.15058115
2015-16,Benishangul-Gumuz,Potato,Kg,9.842611153
2015-16,Benishangul-Gumuz,Poultry,Kg,339.5833203
2015-16,Benishangul-Gumuz,Salt,Kg,14.41700456
2015-16,Benishangul-Gumuz,Soda,Kg,44.52991477
2015-16,Benishangul-Gumuz,Sorghum,Kg,8.47947638
2015-16,Benishangul-Gumuz,Sugar,Kg,106.1738512
2015-16,Benishangul-Gumuz,Sweet potato,Kg,6.60033328
2015-16,Benishangul-Gumuz,Tea,Kg,56.24578016
2015-16,Benishangul-Gumuz,Teff,Kg,23.0112782
2015-16,Benishangul-Gumuz,Tella,Kg,7.162332002
2015-16,Benishangul-Gumuz,Tomato,Kg,10.57392695
2015-16,Benishangul-Gumuz,Wheat,Kg,8.971715323
2015-16,Dire Dawa,Banana,Kg,14.78907552
2015-16,Dire Dawa,Barley,Kg,16.35860339
2015-16,Dire Dawa,Beef,Kg,153.2432402
2015-16,Dire Dawa,Beer,Kg,33.13972924
2015-16,Dire Dawa,Berbere,Kg,61.90958223
2015-16,Dire Dawa,Bread/biscuit,Kg,10.73714163
2015-16,Dire Dawa,Bula,Kg,37.66666515
2015-16,Dire Dawa,Butter/ghee,Kg,172.7923782
2015-16,Dire Dawa,Chat/Kat,Kg,174.7704858
2015-16,Dire Dawa,Cheese,Kg,79.9999962
2015-16,Dire Dawa,Chick Pea,Kg,26.51272975
2015-16,Dire Dawa,Coffee,Kg,55.55755213
2015-16,Dire Dawa,Eggs,Kg,19.05467901
2015-16,Dire Dawa,Field Pea,Kg,36.0750401
2015-16,Dire Dawa,Fish,Kg,11099.99948
2015-16,Dire Dawa,Goat & mutton meat,Kg,166.8872637
2015-16,Dire Dawa,Ground nuts,Kg,38.00981416
2015-16,Dire Dawa,Haricot Beans,Kg,15.69899404
2015-16,Dire Dawa,Horsebeans,Kg,21.84764435
2015-16,Dire Dawa,Injera,Kg,13.8085844
2015-16,Dire Dawa,Kariya,Kg,9.540988774
2015-16,Dire Dawa,Kocho,Kg,50
2015-16,Dire Dawa,Leafy Greens,Kg,8.292568924
2015-16,Dire Dawa,Lentils,Kg,46.15164009
2015-16,Dire Dawa,Linseed,Kg,29.74245266
2015-16,Dire Dawa,Maize,Kg,7.197623174
2015-16,Dire Dawa,Milk,Kg,35.18063282
2015-16,Dire Dawa,Niger Seed,Kg,31.72417853
2015-16,Dire Dawa,Oils,Kg,32.04483839
2015-16,Dire Dawa,Onion,Kg,13.06543309
2015-16,Dire Dawa,Orange,Kg,19.3384917
2015-16,Dire Dawa,Other cereal,Kg,17.76176324
2015-16,Dire Dawa,Other fruit,Kg,51.36851657
2015-16,Dire Dawa,Other prepared food,Kg,59.58333105
2015-16,Dire Dawa,Other pulse or nut,Kg,38.17995721
2015-16,Dire Dawa,Other seed,Kg,77.59941318
2015-16,Dire Dawa,Other tuber or stem,Kg,13.71268629
2015-16,Dire Dawa,Other vegetable,Kg,15
2015-16,Dire Dawa,Pasta/Macaroni,Kg,26.2707835
2015-16,Dire Dawa,Potato,Kg,12.27051291
2015-16,Dire Dawa,Poultry,Kg,399.9999841
2015-16,Dire Dawa,Salt,Kg,22.03626701
2015-16,Dire Dawa,Soda,Kg,212.0716428
2015-16,Dire Dawa,Sorghum,Kg,10.21031854
2015-16,Dire Dawa,Sugar,Kg,20.71622969
2015-16,Dire Dawa,Sweet potato,Kg,11.62790678
2015-16,Dire Dawa,Tea,Kg,116.0152805
2015-16,Dire Dawa,Teff,Kg,21.3528657
2015-16,Dire Dawa,Tella,Kg,111.7751368
2015-16,Dire Dawa,Tomato,Kg,12.32172762
2015-16,Dire Dawa,Wheat,Kg,12.93073348
2015-16,Gambela,Banana,Kg,10.47351412
2015-16,Gambela,Barley,Kg,16.25252528
2015-16,Gambela,Beef,Kg,103.333333
2015-16,Gambela,Beer,Kg,42.89837626
2015-16,Gambela,Berbere,Kg,53.37151686
2015-16,Gambela,Bread/biscuit,Kg,76.48691609
2015-16,Gambela,Butter/ghee,Kg,170.0498434
2015-16,Gambela,Chat/Kat,Kg,71.31027548
2015-16,Gambela,Cheese,Kg,81.45541238
2015-16,Gambela,Chick Pea,Kg,24.27920916
2015-16,Gambela,Coffee,Kg,56.30995657
2015-16,Gambela,Eggs,Kg,15.49775677
2015-16,Gambela,Field Pea,Kg,33.31378285
2015-16,Gambela,Fish,Kg,22.2253963
2015-16,Gambela,Goat & mutton meat,Kg,115.5555548
2015-16,Gambela,Godere,Kg,7.39664507
2015-16,Gambela,Ground nuts,Kg,31.03921558
2015-16,Gambela,Haricot Beans,Kg,11.86034363
2015-16,Gambela,Horsebeans,Kg,26.62660677
2015-16,Gambela,Injera,Kg,23.22353183
2015-16,Gambela,Kariya,Kg,19.99981135
2015-16,Gambela,Kocho,Kg,52.28758268
2015-16,Gambela,Leafy Greens,Kg,11.88021039
2015-16,Gambela,Lentils,Kg,46.16434903
2015-16,Gambela,Maize,Kg,5.405997186
2015-16,Gambela,Milk,Kg,16.1829323
2015-16,Gambela,Millet,Kg,18.93939404
2015-16,Gambela,Oils,Kg,38.29152943
2015-16,Gambela,Onion,Kg,16.85650988
2015-16,Gambela,Orange,Kg,16.86480193
2015-16,Gambela,Other fruit,Kg,1.6666666
2015-16,Gambela,Other prepared food,Kg,24.99999881
2015-16,Gambela,Other pulse or nut,Kg,21.05081176
2015-16,Gambela,Other vegetable,Kg,1.256354288
2015-16,Gambela,Pasta/Macaroni,Kg,24.35476851
2015-16,Gambela,Potato,Kg,13.24697923
2015-16,Gambela,Poultry,Kg,499.9999801
2015-16,Gambela,Salt,Kg,11.02955129
2015-16,Gambela,Soda,Kg,31.18680219
2015-16,Gambela,Sorghum,Kg,5.683563761
2015-16,Gambela,Sugar,Kg,31.74737089
2015-16,Gambela,Sweet potato,Kg,10.21554276
2015-16,Gambela,Tea,Kg,62.65070182
2015-16,Gambela,Teff,Kg,18.1312009
2015-16,Gambela,Tella,Kg,4.073451075
2015-16,Gambela,Tomato,Kg,17.04167273
2015-16,Gambela,Wheat,Kg,9.5
2015-16,Harari,Banana,Kg,10.38305401
2015-16,Harari,Barley,Kg,15.25
2015-16,Harari,Beef,Kg,3321.759847
2015-16,Harari,Beer,Kg,139.9999944
2015-16,Harari,Berbere,Kg,64.85613005
2015-16,Harari,Bread/biscuit,Kg,8.715468041
2015-16,Harari,Butter/ghee,Kg,19.99999953
2015-16,Harari,Chat/Kat,Kg,124.5608826
2015-16,Harari,Chick Pea,Kg,31.71428497
2015-16,Harari,Coffee,Kg,67.46274921
2015-16,Harari,Eggs,Kg,20.5662381
2015-16,Harari,Field Pea,Kg,29.39999912
2015-16,Harari,Goat & mutton meat,Kg,123.4999989
2015-16,Harari,Ground nuts,Kg,227.5681718
2015-16,Harari,Haricot Beans,Kg,14.33333333
2015-16,Harari,Horsebeans,Kg,770.0499643
2015-16,Harari,Injera,Kg,30.77991511
2015-16,Harari,Kariya,Kg,13.18943703
2015-16,Harari,Leafy Greens,Kg,24.31744749
2015-16,Harari,Lentils,Kg,57.88888638
2015-16,Harari,Linseed,Kg,91.72896972
2015-16,Harari,Maize,Kg,8.607908193
2015-16,Harari,Milk,Kg,18.74627001
2015-16,Harari,Niger Seed,Kg,93.45794325
2015-16,Harari,Oils,Kg,31.69868004
2015-16,Harari,Onion,Kg,11.08615713
2015-16,Harari,Orange,Kg,10.81592031
2015-16,Harari,Other cereal,Kg,16.64942521
2015-16,Harari,Other fruit,Kg,5.966304483
2015-16,Harari,Other prepared food,Kg,18
2015-16,Harari,Other pulse or nut,Kg,53.94316398
2015-16,Harari,Other seed,Kg,47.99999772
2015-16,Harari,Pasta/Macaroni,Kg,19.5578867
2015-16,Harari,Potato,Kg,8.630333368
2015-16,Harari,Salt,Kg,170.285351
2015-16,Harari,Soda,Kg,22.85714198
2015-16,Harari,Sorghum,Kg,10.40440233
2015-16,Harari,Sugar,Kg,116.1475777
2015-16,Harari,Tea,Kg,33.04234182
2015-16,Harari,Teff,Kg,21.99789916
2015-16,Harari,Tomato,Kg,18.02685437
2015-16,Harari,Wheat,Kg,13.36907218
2015-16,Oromia,Banana,Kg,10.38878747
2015-16,Oromia,Barley,Kg,11.99190116
2015-16,Oromia,Beef,Kg,152.6434335
2015-16,Oromia,Beer,Kg,58.22089686
2015-16,Oromia,Berbere,Kg,80.78772562
2015-16,Oromia,Boye/Yam,Kg,12.65838605
2015-16,Oromia,Bread/biscuit,Kg,15.49063492
2015-16,Oromia,Bula,Kg,31.74871433
2015-16,Oromia,Butter/ghee,Kg,262.6788419
2015-16,Oromia,Cassava,Kg,16
2015-16,Oromia,Chat/Kat,Kg,97.72039957
2015-16,Oromia,Cheese,Kg,79.20811317
2015-16,Oromia,Chick Pea,Kg,22.06340668
2015-16,Oromia,Coffee,Kg,61.97721109
2015-16,Oromia,Eggs,Kg,15.02097713
2015-16,Oromia,Field Pea,Kg,28.08723755
2015-16,Oromia,Fish,Kg,57.07051851
2015-16,Oromia,Goat & mutton meat,Kg,390.1440477
2015-16,Oromia,Godere,Kg,28.79850728
2015-16,Oromia,Ground nuts,Kg,47.81467217
2015-16,Oromia,Haricot Beans,Kg,12.76560739
2015-16,Oromia,Horsebeans,Kg,24.36214208
2015-16,Oromia,Injera,Kg,18.99212834
2015-16,Oromia,Kariya,Kg,9.500144184
2015-16,Oromia,Kocho,Kg,17.18704167
2015-16,Oromia,Leafy Greens,Kg,9.577431779
2015-16,Oromia,Lentils,Kg,51.75641033
2015-16,Oromia,Linseed,Kg,29.9676095
2015-16,Oromia,Maize,Kg,6.201354216
2015-16,Oromia,Milk,Kg,22.88691562
2015-16,Oromia,Millet,Kg,7.785531194
2015-16,Oromia,Niger Seed,Kg,267.681819
2015-16,Oromia,Oils,Kg,39.46861765
2015-16,Oromia,Onion,Kg,39.70879907
2015-16,Oromia,Orange,Kg,15.94720651
2015-16,Oromia,Other cereal,Kg,16.36649317
2015-16,Oromia,Other fruit,Kg,17.46390247
