t,m,j,u,Price
2015-16,Tigray,Other seed,Kg,22.5
2015-16,Tigray,Other tuber or stem,Kg,12.33333313
2015-16,Tigray,Other vegetable,Kg,46.52766658
2015-16,Tigray,Pasta/Macaroni,Kg,22.61144892
2015-16,Tigray,Potato,Kg,71.76007394
2015-16,Tigray,Poultry,Kg,290.3855043
2015-16,Tigray,Salt,Kg,15.52391832
2015-16,Tigray,Soda,Kg,54.92339542
2015-16,Tigray,Sorghum,Kg,7.295362929
2015-16,Tigray,Sugar,Kg,31.2774375
2015-16,Tigray,Sweet potato,Kg,9.2
2015-16,Tigray,Tea,Kg,81.5015516
2015-16,Tigray,Teff,Kg,51.39482114
2015-16,Tigray,Tella,Kg,7.1400288
2015-16,Tigray,Tomato,Kg,34.00414824
2015-16,Tigray,Wheat,Kg,12.88736446
