i,t,m,age,sex,HH_size
83929,2015,USA,10,Female,7
83930,2015,USA,17,Male,3
83931,2015,USA,37,Male,3
83932,2015,USA,80,Female,2
83933,2015,USA,31,Female,5
83934,2015,USA,27,Female,2
83935,2015,USA,44,Female,5
83936,2015,USA,12,Male,3
83937,2015,USA,75,Female,5
83938,2015,USA,45,Male,4
83939,2015,USA,5.40E-79,Female,5
83940,2015,USA,16,Male,5
83941,2015,USA,71,Male,4
83942,2015,USA,5.40E-79,Male,3
83943,2015,USA,17,Female,7
83944,2015,USA,75,Male,3
83945,2015,USA,9,Female,5
83946,2015,USA,43,Male,4
83947,2015,USA,33,Female,4
83948,2015,USA,13,Female,6
83949,2015,USA,78,Female,1
83950,2015,USA,55,Male,1
83951,2015,USA,24,Male,3
83952,2015,USA,14,Female,6
83953,2015,USA,46,Female,2
83954,2015,USA,53,Male,2
83955,2015,USA,47,Male,3
83956,2015,USA,5.40E-79,Female,4
83957,2015,USA,5.40E-79,Female,4
83958,2015,USA,47,Female,3
83959,2015,USA,22,Female,4
83960,2015,USA,12,Male,5
83961,2015,USA,44,Female,4
83962,2015,USA,28,Female,4
83963,2015,USA,44,Female,3
83964,2015,USA,72,Female,2
83965,2015,USA,49,Male,1
83966,2015,USA,27,Male,6
83967,2015,USA,40,Male,3
83968,2015,USA,11,Male,7
83969,2015,USA,21,Female,2
83970,2015,USA,9,Male,3
83971,2015,USA,26,Female,4
83972,2015,USA,10,Female,4
83973,2015,USA,63,Male,2
83974,2015,USA,2,Female,6
83975,2015,USA,65,Female,3
83976,2015,USA,80,Male,1
83977,2015,USA,80,Female,2
83978,2015,USA,8,Female,3
83979,2015,USA,15,Male,4
83980,2015,USA,10,Female,5
83981,2015,USA,15,Male,4
83982,2015,USA,25,Male,6
83983,2015,USA,71,Female,2
83984,2015,USA,6,Female,3
83985,2015,USA,55,Male,1
83986,2015,USA,40,Male,6
83987,2015,USA,68,Male,7
83988,2015,USA,21,Male,5
83989,2015,USA,37,Female,2
83990,2015,USA,79,Female,2
83991,2015,USA,14,Female,3
83992,2015,USA,68,Male,2
83993,2015,USA,41,Female,2
83994,2015,USA,60,Female,2
83995,2015,USA,43,Male,2
83996,2015,USA,60,Female,2
83997,2015,USA,13,Male,6
83998,2015,USA,31,Female,1
83999,2015,USA,71,Male,2
84000,2015,USA,2,Male,6
84001,2015,USA,54,Female,1
84002,2015,USA,48,Male,1
84003,2015,USA,1,Female,6
84004,2015,USA,14,Female,4
84005,2015,USA,26,Male,2
84006,2015,USA,45,Female,3
84007,2015,USA,27,Female,3
84008,2015,USA,62,Female,2
84009,2015,USA,9,Female,4
84010,2015,USA,68,Female,2
84011,2015,USA,32,Male,5
84012,2015,USA,24,Male,5
84013,2015,USA,14,Male,7
84014,2015,USA,53,Male,2
84015,2015,USA,73,Male,3
84016,2015,USA,41,Female,3
84017,2015,USA,7,Female,4
84018,2015,USA,27,Male,2
84019,2015,USA,54,Male,5
84020,2015,USA,2,Male,3
84021,2015,USA,29,Female,6
84022,2015,USA,60,Female,3
84023,2015,USA,19,Female,3
84024,2015,USA,4,Male,5
84025,2015,USA,18,Female,7
84026,2015,USA,44,Male,4
84027,2015,USA,2,Male,7
84028,2015,USA,61,Female,3
84029,2015,USA,28,Female,4
84030,2015,USA,46,Male,7
84031,2015,USA,2,Female,4
84032,2015,USA,51,Male,1
84033,2015,USA,41,Female,3
84034,2015,USA,25,Female,5
84035,2015,USA,10,Male,4
84036,2015,USA,36,Male,3
84037,2015,USA,66,Male,2
84038,2015,USA,23,Female,2
84039,2015,USA,36,Male,4
84040,2015,USA,62,Male,4
84041,2015,USA,71,Female,2
84042,2015,USA,75,Male,2
84043,2015,USA,5.40E-79,Female,5
84044,2015,USA,58,Female,5
84045,2015,USA,10,Female,7
84046,2015,USA,45,Female,2
84047,2015,USA,72,Female,5
84048,2015,USA,5.40E-79,Male,3
84049,2015,USA,11,Male,3
84050,2015,USA,79,Female,3
84051,2015,USA,55,Female,3
84052,2015,USA,8,Male,5
84053,2015,USA,1,Female,7
84054,2015,USA,17,Male,4
84055,2015,USA,64,Female,2
84056,2015,USA,14,Female,5
84057,2015,USA,3,Male,5
84058,2015,USA,21,Female,5
84059,2015,USA,4,Female,7
84060,2015,USA,5.40E-79,Female,5
84061,2015,USA,50,Female,2
84062,2015,USA,45,Female,6
84063,2015,USA,14,Male,6
84064,2015,USA,5.40E-79,Female,5
84065,2015,USA,48,Female,1
84066,2015,USA,14,Female,5
84067,2015,USA,5.40E-79,Female,6
84068,2015,USA,59,Male,1
84069,2015,USA,61,Female,7
84070,2015,USA,40,Male,4
84071,2015,USA,72,Female,4
84072,2015,USA,27,Female,3
84073,2015,USA,39,Female,7
84074,2015,USA,26,Female,7
84075,2015,USA,62,Male,2
84076,2015,USA,20,Male,7
