i,t,m,age,sex,HH_size
86020,2015,USA,5.40E-79,Male,4
86021,2015,USA,42,Male,2
86022,2015,USA,23,Female,2
86023,2015,USA,14,Female,6
86024,2015,USA,13,Female,5
86025,2015,USA,5.40E-79,Female,3
86026,2015,USA,61,Male,2
86027,2015,USA,25,Female,2
86028,2015,USA,56,Female,1
86029,2015,USA,26,Female,4
86030,2015,USA,4,Female,2
86031,2015,USA,22,Female,7
86032,2015,USA,50,Female,4
86033,2015,USA,35,Female,4
86034,2015,USA,48,Male,5
86035,2015,USA,37,Male,2
86036,2015,USA,61,Male,2
86037,2015,USA,65,Female,2
86038,2015,USA,15,Female,6
86039,2015,USA,71,Female,2
86040,2015,USA,35,Male,3
86041,2015,USA,35,Male,6
86042,2015,USA,2,Male,5
86043,2015,USA,14,Female,7
86044,2015,USA,67,Female,1
86045,2015,USA,9,Female,5
86046,2015,USA,9,Male,5
86047,2015,USA,80,Female,1
86048,2015,USA,16,Female,3
86049,2015,USA,13,Female,6
86050,2015,USA,39,Female,6
86051,2015,USA,36,Female,2
86052,2015,USA,59,Male,2
86053,2015,USA,57,Female,2
86054,2015,USA,40,Male,5
86055,2015,USA,80,Male,1
86056,2015,USA,33,Female,5
86057,2015,USA,46,Male,4
86058,2015,USA,51,Female,1
86059,2015,USA,25,Female,4
86060,2015,USA,68,Female,2
86061,2015,USA,37,Male,3
86062,2015,USA,80,Male,2
86063,2015,USA,64,Male,5
86064,2015,USA,2,Male,5
86065,2015,USA,69,Male,2
86066,2015,USA,2,Female,5
86067,2015,USA,51,Male,4
86068,2015,USA,20,Male,5
86069,2015,USA,63,Female,1
86070,2015,USA,52,Male,4
86071,2015,USA,38,Female,5
86072,2015,USA,71,Female,6
86073,2015,USA,10,Female,3
86074,2015,USA,2,Female,3
86075,2015,USA,3,Male,3
86076,2015,USA,2,Female,2
86077,2015,USA,80,Female,1
86078,2015,USA,8,Male,5
86079,2015,USA,8,Male,7
86080,2015,USA,27,Female,5
86081,2015,USA,4,Male,6
86082,2015,USA,49,Female,4
86083,2015,USA,73,Female,1
86084,2015,USA,10,Female,3
86085,2015,USA,19,Female,4
86086,2015,USA,19,Male,3
86087,2015,USA,31,Female,5
86088,2015,USA,80,Female,2
86089,2015,USA,2,Male,7
86090,2015,USA,26,Female,5
86091,2015,USA,64,Female,1
86092,2015,USA,36,Male,5
86093,2015,USA,66,Female,4
86094,2015,USA,28,Male,6
86095,2015,USA,9,Male,6
86096,2015,USA,49,Male,4
86097,2015,USA,80,Female,2
86098,2015,USA,56,Male,2
86099,2015,USA,5.40E-79,Male,6
86100,2015,USA,33,Male,6
86101,2015,USA,14,Female,6
86102,2015,USA,52,Female,1
86103,2015,USA,46,Male,5
86104,2015,USA,53,Male,1
86105,2015,USA,23,Female,3
86106,2015,USA,2,Male,3
86107,2015,USA,5,Male,5
86108,2015,USA,14,Male,4
86109,2015,USA,64,Male,3
86110,2015,USA,20,Female,6
86111,2015,USA,12,Male,5
86112,2015,USA,80,Male,2
86113,2015,USA,47,Female,5
86114,2015,USA,3,Female,7
86115,2015,USA,12,Female,3
86116,2015,USA,16,Male,4
86117,2015,USA,7,Female,6
86118,2015,USA,70,Female,1
86119,2015,USA,15,Male,6
86120,2015,USA,67,Female,3
86121,2015,USA,23,Male,1
86122,2015,USA,1,Female,4
86123,2015,USA,36,Female,5
86124,2015,USA,14,Female,4
86125,2015,USA,36,Male,5
86126,2015,USA,26,Male,2
86127,2015,USA,46,Female,2
86128,2015,USA,5.40E-79,Male,3
86129,2015,USA,70,Female,1
86130,2015,USA,5.40E-79,Female,5
86131,2015,USA,5.40E-79,Male,5
86132,2015,USA,59,Female,2
86133,2015,USA,6,Female,6
86134,2015,USA,5,Female,7
86135,2015,USA,8,Female,5
86136,2015,USA,37,Female,5
86137,2015,USA,47,Male,3
86138,2015,USA,6,Female,6
86139,2015,USA,69,Male,1
86140,2015,USA,5,Male,2
86141,2015,USA,5.40E-79,Female,7
86142,2015,USA,8,Male,6
86143,2015,USA,57,Female,3
86144,2015,USA,25,Male,3
86145,2015,USA,14,Female,2
86146,2015,USA,40,Male,5
86147,2015,USA,16,Male,3
86148,2015,USA,14,Female,2
86149,2015,USA,54,Female,4
86150,2015,USA,47,Female,5
86151,2015,USA,80,Male,2
86152,2015,USA,25,Male,5
86153,2015,USA,15,Female,6
86154,2015,USA,11,Female,7
86155,2015,USA,18,Female,5
86156,2015,USA,61,Female,3
86157,2015,USA,80,Male,2
86158,2015,USA,45,Female,5
86159,2015,USA,20,Female,5
86160,2015,USA,29,Female,3
86161,2015,USA,2,Female,4
86162,2015,USA,12,Female,5
86163,2015,USA,73,Female,2
86164,2015,USA,5,Female,4
86165,2015,USA,65,Male,1
86166,2015,USA,13,Female,5
86167,2015,USA,36,Female,5
86168,2015,USA,80,Male,2
86169,2015,USA,46,Female,5
86170,2015,USA,10,Female,5
86171,2015,USA,7,Female,6
86172,2015,USA,33,Female,5
86173,2015,USA,31,Male,2
86174,2015,USA,16,Female,4
86175,2015,USA,33,Male,1
86176,2015,USA,33,Male,7
86177,2015,USA,38,Female,4
86178,2015,USA,69,Male,1
86179,2015,USA,11,Female,6
86180,2015,USA,15,Female,3
86181,2015,USA,42,Female,6
86182,2015,USA,54,Male,2
86183,2015,USA,46,Male,6
86184,2015,USA,18,Female,7
86185,2015,USA,53,Male,3
86186,2015,USA,55,Female,2
86187,2015,USA,4,Male,4
86188,2015,USA,30,Female,2
86189,2015,USA,28,Female,5
86190,2015,USA,54,Female,2
86191,2015,USA,29,Female,5
86192,2015,USA,59,Female,2
86193,2015,USA,9,Female,7
86194,2015,USA,80,Male,1
86195,2015,USA,61,Female,5
86196,2015,USA,55,Female,5
86197,2015,USA,62,Male,1
86198,2015,USA,8,Female,4
86199,2015,USA,3,Male,3
86200,2015,USA,48,Female,4
86201,2015,USA,80,Female,1
86202,2015,USA,8,Male,5
86203,2015,USA,48,Male,2
86204,2015,USA,5,Male,4
86205,2015,USA,25,Male,1
86206,2015,USA,3,Male,5
86207,2015,USA,16,Female,4
86208,2015,USA,53,Male,3
86209,2015,USA,31,Male,4
86210,2015,USA,47,Female,3
86211,2015,USA,3,Female,6
86212,2015,USA,32,Female,4
86213,2015,USA,39,Male,4
86214,2015,USA,80,Female,1
86215,2015,USA,63,Male,2
86216,2015,USA,9,Female,4
86217,2015,USA,9,Female,2
86218,2015,USA,25,Female,3
86219,2015,USA,60,Female,2
86220,2015,USA,38,Male,6
86221,2015,USA,57,Female,4
86222,2015,USA,1,Male,4
86223,2015,USA,77,Female,4
86224,2015,USA,13,Female,6
86225,2015,USA,80,Male,2
86226,2015,USA,23,Female,3
86227,2015,USA,70,Female,2
86228,2015,USA,6,Male,5
86229,2015,USA,15,Female,2
86230,2015,USA,1,Male,7
86231,2015,USA,50,Male,3
86232,2015,USA,13,Female,4
86233,2015,USA,45,Male,4
86234,2015,USA,10,Male,3
86235,2015,USA,2,Female,5
86236,2015,USA,34,Male,2
86237,2015,USA,80,Male,2
86238,2015,USA,45,Female,3
86239,2015,USA,57,Female,2
86240,2015,USA,4,Male,2
86241,2015,USA,73,Female,1
86242,2015,USA,62,Female,2
86243,2015,USA,62,Male,5
86244,2015,USA,80,Female,1
86245,2015,USA,47,Female,6
86246,2015,USA,33,Male,2
86247,2015,USA,78,Female,2
86248,2015,USA,7,Female,5
86249,2015,USA,24,Female,5
86250,2015,USA,5,Female,4
86251,2015,USA,5,Male,3
86252,2015,USA,16,Male,5
86253,2015,USA,2,Male,3
86254,2015,USA,12,Male,5
86255,2015,USA,74,Female,6
86256,2015,USA,10,Female,7
86257,2015,USA,8,Female,5
86258,2015,USA,80,Female,1
86259,2015,USA,43,Female,4
86260,2015,USA,26,Female,3
86261,2015,USA,24,Male,2
86262,2015,USA,31,Female,3
86263,2015,USA,3,Male,3
86264,2015,USA,11,Male,7
86265,2015,USA,57,Male,4
86266,2015,USA,5.40E-79,Male,3
86267,2015,USA,55,Female,6
86268,2015,USA,57,Female,5
86269,2015,USA,9,Female,5
86270,2015,USA,6,Male,7
86271,2015,USA,55,Female,3
86272,2015,USA,22,Female,7
86273,2015,USA,73,Female,2
86274,2015,USA,11,Male,5
86275,2015,USA,20,Male,2
86276,2015,USA,68,Male,2
86277,2015,USA,65,Female,3
86278,2015,USA,22,Male,5
86279,2015,USA,35,Female,3
86280,2015,USA,80,Male,3
86281,2015,USA,26,Male,3
86282,2015,USA,51,Female,5
86283,2015,USA,11,Female,5
86284,2015,USA,46,Male,5
86285,2015,USA,18,Male,3
86286,2015,USA,60,Female,2
86287,2015,USA,18,Female,4
86288,2015,USA,17,Female,4
86289,2015,USA,7,Female,4
86290,2015,USA,29,Female,3
86291,2015,USA,60,Female,2
86292,2015,USA,16,Male,5
86293,2015,USA,40,Female,5
86294,2015,USA,10,Male,5
86295,2015,USA,1,Male,7
86296,2015,USA,40,Male,3
86297,2015,USA,35,Female,2
86298,2015,USA,50,Female,5
86299,2015,USA,41,Male,3
86300,2015,USA,59,Female,3
86301,2015,USA,26,Male,3
86302,2015,USA,9,Female,6
86303,2015,USA,1,Female,4
86304,2015,USA,8,Female,3
86305,2015,USA,8,Female,4
86306,2015,USA,6,Male,7
86307,2015,USA,5.40E-79,Male,3
86308,2015,USA,22,Female,3
86309,2015,USA,15,Male,6
86310,2015,USA,80,Female,1
86311,2015,USA,18,Female,5
86312,2015,USA,58,Male,1
86313,2015,USA,10,Male,4
86314,2015,USA,11,Male,5
86315,2015,USA,80,Female,2
86316,2015,USA,12,Female,3
86317,2015,USA,80,Male,2
86318,2015,USA,63,Male,1
86319,2015,USA,55,Female,1
86320,2015,USA,80,Male,2
86321,2015,USA,25,Female,6
86322,2015,USA,39,Female,5
86323,2015,USA,24,Female,5
86324,2015,USA,29,Female,2
86325,2015,USA,60,Male,1
86326,2015,USA,69,Female,2
86327,2015,USA,12,Female,4
86328,2015,USA,75,Male,2
86329,2015,USA,18,Female,4
86330,2015,USA,5,Female,2
86331,2015,USA,1,Female,5
86332,2015,USA,34,Female,3
86333,2015,USA,23,Male,2
86334,2015,USA,72,Male,1
86335,2015,USA,60,Male,5
86336,2015,USA,62,Female,2
86337,2015,USA,11,Male,7
86338,2015,USA,55,Male,7
86339,2015,USA,80,Female,5
86340,2015,USA,10,Female,5
86341,2015,USA,3,Female,7
86342,2015,USA,31,Male,6
86343,2015,USA,54,Male,6
86344,2015,USA,7,Female,2
86345,2015,USA,14,Female,5
86346,2015,USA,5.40E-79,Female,4
86347,2015,USA,54,Male,2
86348,2015,USA,35,Male,4
86349,2015,USA,71,Male,4
86350,2015,USA,49,Female,4
86351,2015,USA,53,Male,2
86352,2015,USA,31,Female,5
86353,2015,USA,7,Female,6
86354,2015,USA,37,Male,4
86355,2015,USA,7,Female,4
86356,2015,USA,49,Female,7
86357,2015,USA,75,Female,1
86358,2015,USA,62,Female,2
86359,2015,USA,37,Male,3
86360,2015,USA,50,Male,3
86361,2015,USA,76,Female,2
86362,2015,USA,58,Male,4
86363,2015,USA,9,Male,5
86364,2015,USA,42,Female,4
86365,2015,USA,68,Male,3
86366,2015,USA,53,Female,1
86367,2015,USA,48,Male,6
86368,2015,USA,52,Male,2
86369,2015,USA,14,Male,7
86370,2015,USA,8,Female,5
86371,2015,USA,5.40E-79,Female,4
86372,2015,USA,39,Female,4
86373,2015,USA,15,Female,4
86374,2015,USA,5,Male,7
86375,2015,USA,11,Male,7
86376,2015,USA,10,Male,6
86377,2015,USA,76,Female,2
86378,2015,USA,5,Female,4
86379,2015,USA,42,Male,1
86380,2015,USA,2,Male,4
86381,2015,USA,15,Male,4
86382,2015,USA,3,Female,3
86383,2015,USA,78,Female,7
86384,2015,USA,37,Female,3
86385,2015,USA,9,Male,4
86386,2015,USA,72,Male,2
86387,2015,USA,13,Female,6
86388,2015,USA,6,Male,5
86389,2015,USA,13,Male,4
86390,2015,USA,15,Female,6
86391,2015,USA,5,Male,7
86392,2015,USA,1,Female,3
86393,2015,USA,45,Male,4
86394,2015,USA,38,Male,5
86395,2015,USA,36,Female,5
86396,2015,USA,27,Male,4
86397,2015,USA,28,Female,7
86398,2015,USA,11,Male,6
86399,2015,USA,35,Female,5
86400,2015,USA,62,Female,2
86401,2015,USA,53,Male,6
86402,2015,USA,19,Male,4
86403,2015,USA,5.40E-79,Female,3
86404,2015,USA,80,Male,2
86405,2015,USA,80,Male,1
86406,2015,USA,80,Male,1
86407,2015,USA,2,Female,3
86408,2015,USA,5.40E-79,Female,6
86409,2015,USA,21,Female,7
86410,2015,USA,16,Male,5
86411,2015,USA,5.40E-79,Male,7
86412,2015,USA,8,Female,4
86413,2015,USA,44,Female,4
86414,2015,USA,1,Male,4
86415,2015,USA,21,Female,3
86416,2015,USA,51,Female,2
86417,2015,USA,40,Male,6
86418,2015,USA,57,Male,2
86419,2015,USA,11,Male,4
86420,2015,USA,80,Male,3
86421,2015,USA,15,Female,5
86422,2015,USA,5,Female,5
86423,2015,USA,7,Female,5
86424,2015,USA,23,Male,7
86425,2015,USA,25,Female,2
86426,2015,USA,75,Female,4
86427,2015,USA,2,Male,4
86428,2015,USA,39,Male,6
86429,2015,USA,10,Male,5
86430,2015,USA,66,Male,3
86431,2015,USA,2,Female,4
86432,2015,USA,80,Male,2
86433,2015,USA,78,Male,3
86434,2015,USA,15,Male,7
86435,2015,USA,72,Male,4
86436,2015,USA,30,Female,5
86437,2015,USA,7,Female,4
86438,2015,USA,8,Female,4
86439,2015,USA,67,Male,3
86440,2015,USA,7,Female,5
86441,2015,USA,50,Female,4
86442,2015,USA,2,Male,5
86443,2015,USA,59,Male,2
86444,2015,USA,44,Male,4
86445,2015,USA,51,Male,3
86446,2015,USA,51,Female,1
86447,2015,USA,22,Female,2
86448,2015,USA,14,Female,5
86449,2015,USA,5.40E-79,Female,3
86450,2015,USA,77,Male,5
86451,2015,USA,63,Male,4
86452,2015,USA,45,Male,2
86453,2015,USA,36,Female,4
86454,2015,USA,64,Male,5
86455,2015,USA,10,Female,3
86456,2015,USA,36,Female,3
86457,2015,USA,8,Female,6
86458,2015,USA,44,Female,5
86459,2015,USA,50,Female,2
86460,2015,USA,37,Female,7
86461,2015,USA,31,Female,7
86462,2015,USA,3,Male,6
86463,2015,USA,66,Male,2
86464,2015,USA,14,Male,4
86465,2015,USA,16,Male,5
86466,2015,USA,9,Male,4
86467,2015,USA,23,Female,4
86468,2015,USA,79,Female,1
86469,2015,USA,2,Male,4
86470,2015,USA,13,Female,4
86471,2015,USA,8,Male,3
86472,2015,USA,30,Female,1
86473,2015,USA,62,Female,2
86474,2015,USA,76,Male,2
86475,2015,USA,5.40E-79,Female,5
86476,2015,USA,18,Female,7
86477,2015,USA,80,Female,2
86478,2015,USA,1,Male,3
86479,2015,USA,21,Female,7
86480,2015,USA,65,Male,2
86481,2015,USA,9,Male,4
86482,2015,USA,46,Female,7
86483,2015,USA,22,Male,3
86484,2015,USA,2,Female,5
86485,2015,USA,69,Female,1
86486,2015,USA,2,Female,5
86487,2015,USA,43,Male,4
86488,2015,USA,1,Male,7
86489,2015,USA,5.40E-79,Male,3
86490,2015,USA,31,Female,3
86491,2015,USA,20,Male,1
86492,2015,USA,17,Female,6
86493,2015,USA,44,Female,3
86494,2015,USA,80,Female,1
86495,2015,USA,68,Female,2
86496,2015,USA,52,Female,3
86497,2015,USA,5,Male,6
86498,2015,USA,73,Female,2
86499,2015,USA,19,Male,4
86500,2015,USA,60,Male,3
86501,2015,USA,5,Female,6
86502,2015,USA,2,Male,5
86503,2015,USA,3,Male,5
86504,2015,USA,2,Female,5
86505,2015,USA,64,Male,3
86506,2015,USA,24,Male,4
86507,2015,USA,30,Male,5
86508,2015,USA,2,Female,4
86509,2015,USA,12,Female,7
86510,2015,USA,36,Female,3
86511,2015,USA,16,Female,6
86512,2015,USA,59,Male,2
86513,2015,USA,26,Female,5
86514,2015,USA,44,Male,7
86515,2015,USA,61,Male,7
86516,2015,USA,71,Male,2
86517,2015,USA,25,Male,5
86518,2015,USA,26,Male,3
86519,2015,USA,71,Female,2
86520,2015,USA,39,Female,4
86521,2015,USA,50,Male,6
86522,2015,USA,57,Female,5
86523,2015,USA,14,Male,6
86524,2015,USA,21,Female,4
86525,2015,USA,68,Male,7
86526,2015,USA,32,Male,1
86527,2015,USA,3,Male,7
86528,2015,USA,37,Female,5
86529,2015,USA,17,Male,3
86530,2015,USA,58,Female,1
86531,2015,USA,11,Female,4
86532,2015,USA,19,Female,3
86533,2015,USA,4,Male,3
86534,2015,USA,43,Female,2
86535,2015,USA,12,Male,6
86536,2015,USA,17,Female,7
86537,2015,USA,80,Female,2
86538,2015,USA,12,Male,3
86539,2015,USA,19,Female,4
86540,2015,USA,43,Male,6
86541,2015,USA,18,Male,7
86542,2015,USA,64,Male,2
86543,2015,USA,9,Female,5
86544,2015,USA,46,Female,4
86545,2015,USA,5.40E-79,Male,4
86546,2015,USA,69,Male,2
86547,2015,USA,8,Male,5
86548,2015,USA,69,Male,2
86549,2015,USA,44,Male,5
86550,2015,USA,3,Male,5
86551,2015,USA,25,Male,5
86552,2015,USA,37,Female,5
86553,2015,USA,35,Male,3
86554,2015,USA,5.40E-79,Male,5
86555,2015,USA,33,Male,3
86556,2015,USA,31,Female,5
86557,2015,USA,52,Female,4
86558,2015,USA,60,Male,1
86559,2015,USA,5,Male,4
86560,2015,USA,24,Male,4
86561,2015,USA,4,Male,7
86562,2015,USA,8,Female,6
86563,2015,USA,58,Male,2
86564,2015,USA,64,Male,1
86565,2015,USA,66,Male,2
86566,2015,USA,40,Female,2
86567,2015,USA,80,Female,1
86568,2015,USA,46,Female,6
86569,2015,USA,23,Male,4
86570,2015,USA,11,Female,7
86571,2015,USA,10,Female,2
86572,2015,USA,40,Female,3
86573,2015,USA,65,Male,1
86574,2015,USA,30,Male,3
86575,2015,USA,27,Male,3
86576,2015,USA,3,Male,4
86577,2015,USA,12,Female,7
86578,2015,USA,11,Female,4
86579,2015,USA,47,Male,3
86580,2015,USA,59,Male,2
86581,2015,USA,65,Male,2
86582,2015,USA,5.40E-79,Male,4
86583,2015,USA,70,Male,1
86584,2015,USA,52,Female,3
86585,2015,USA,2,Female,2
86586,2015,USA,28,Female,6
86587,2015,USA,7,Female,4
86588,2015,USA,65,Male,7
86589,2015,USA,10,Male,4
86590,2015,USA,42,Female,2
86591,2015,USA,53,Male,2
86592,2015,USA,28,Male,2
86593,2015,USA,13,Female,5
86594,2015,USA,38,Male,7
86595,2015,USA,12,Male,5
86596,2015,USA,7,Female,3
86597,2015,USA,69,Male,2
86598,2015,USA,25,Male,3
86599,2015,USA,27,Male,4
86600,2015,USA,25,Female,3
86601,2015,USA,23,Male,3
86602,2015,USA,1,Male,4
86603,2015,USA,53,Female,4
86604,2015,USA,80,Male,2
86605,2015,USA,2,Female,5
86606,2015,USA,50,Female,3
86607,2015,USA,30,Female,1
86608,2015,USA,1,Male,4
86609,2015,USA,33,Male,7
86610,2015,USA,52,Female,2
86611,2015,USA,28,Female,4
86612,2015,USA,3,Male,5
86613,2015,USA,38,Female,5
86614,2015,USA,55,Male,2
86615,2015,USA,13,Female,7
86616,2015,USA,13,Male,7
86617,2015,USA,39,Male,7
86618,2015,USA,34,Female,4
86619,2015,USA,12,Male,7
86620,2015,USA,58,Male,3
86621,2015,USA,48,Male,2
86622,2015,USA,6,Female,3
86623,2015,USA,55,Male,1
86624,2015,USA,51,Male,2
86625,2015,USA,12,Male,7
86626,2015,USA,41,Female,3
86627,2015,USA,68,Female,1
86628,2015,USA,80,Female,7
86629,2015,USA,23,Female,2
86630,2015,USA,35,Male,4
86631,2015,USA,2,Female,4
86632,2015,USA,24,Female,7
86633,2015,USA,62,Female,2
86634,2015,USA,6,Female,5
86635,2015,USA,7,Male,4
86636,2015,USA,18,Male,7
86637,2015,USA,40,Female,4
86638,2015,USA,39,Male,6
86639,2015,USA,46,Female,5
86640,2015,USA,59,Male,1
86641,2015,USA,59,Female,2
86642,2015,USA,12,Male,3
86643,2015,USA,5.40E-79,Female,3
86644,2015,USA,80,Male,1
86645,2015,USA,45,Female,1
86646,2015,USA,80,Male,4
86647,2015,USA,2,Male,7
86648,2015,USA,16,Male,4
86649,2015,USA,32,Female,6
86650,2015,USA,78,Female,1
86651,2015,USA,5,Female,5
86652,2015,USA,59,Male,3
86653,2015,USA,3,Male,5
86654,2015,USA,16,Male,3
86655,2015,USA,54,Male,2
86656,2015,USA,71,Male,6
86657,2015,USA,67,Male,2
86658,2015,USA,26,Male,4
86659,2015,USA,14,Female,3
86660,2015,USA,17,Female,4
86661,2015,USA,62,Male,5
86662,2015,USA,70,Male,5
86663,2015,USA,40,Male,3
86664,2015,USA,69,Male,2
86665,2015,USA,68,Female,6
86666,2015,USA,18,Female,5
86667,2015,USA,63,Female,2
86668,2015,USA,37,Male,3
86669,2015,USA,76,Male,2
86670,2015,USA,25,Female,2
86671,2015,USA,25,Male,5
86672,2015,USA,17,Female,7
86673,2015,USA,11,Male,4
86674,2015,USA,62,Male,3
86675,2015,USA,62,Female,5
86676,2015,USA,43,Male,2
86677,2015,USA,24,Male,5
86678,2015,USA,5.40E-79,Male,3
86679,2015,USA,23,Male,6
86680,2015,USA,11,Female,6
86681,2015,USA,44,Female,7
86682,2015,USA,5.40E-79,Male,5
86683,2015,USA,44,Male,5
86684,2015,USA,1,Male,5
86685,2015,USA,63,Male,7
86686,2015,USA,37,Female,4
86687,2015,USA,53,Female,2
86688,2015,USA,6,Male,6
86689,2015,USA,30,Female,7
86690,2015,USA,10,Female,2
86691,2015,USA,55,Male,1
86692,2015,USA,80,Male,1
86693,2015,USA,5.40E-79,Male,4
86694,2015,USA,10,Female,5
86695,2015,USA,75,Female,2
86696,2015,USA,67,Female,6
86697,2015,USA,42,Female,7
86698,2015,USA,40,Female,4
86699,2015,USA,71,Male,2
86700,2015,USA,5.40E-79,Male,4
86701,2015,USA,49,Male,5
86702,2015,USA,5,Female,5
86703,2015,USA,59,Female,5
86704,2015,USA,5.40E-79,Male,6
86705,2015,USA,59,Female,7
86706,2015,USA,79,Female,7
86707,2015,USA,30,Female,7
86708,2015,USA,2,Female,4
86709,2015,USA,17,Male,4
86710,2015,USA,33,Male,2
86711,2015,USA,8,Female,6
86712,2015,USA,64,Male,2
86713,2015,USA,65,Male,2
86714,2015,USA,11,Female,4
86715,2015,USA,50,Male,7
86716,2015,USA,11,Female,4
86717,2015,USA,62,Female,1
86718,2015,USA,44,Male,2
86719,2015,USA,62,Male,2
86720,2015,USA,34,Female,3
86721,2015,USA,2,Male,2
86722,2015,USA,40,Female,6
86723,2015,USA,10,Male,5
86724,2015,USA,12,Female,5
86725,2015,USA,8,Male,2
86726,2015,USA,3,Male,4
86727,2015,USA,41,Male,3
86728,2015,USA,32,Female,5
86729,2015,USA,17,Male,3
86730,2015,USA,78,Male,4
86731,2015,USA,29,Male,7
86732,2015,USA,69,Male,2
86733,2015,USA,35,Male,2
86734,2015,USA,7,Male,3
86735,2015,USA,3,Female,7
86736,2015,USA,45,Female,4
86737,2015,USA,50,Male,4
86738,2015,USA,11,Female,7
86739,2015,USA,2,Male,4
86740,2015,USA,57,Male,2
86741,2015,USA,77,Female,7
86742,2015,USA,54,Male,7
86743,2015,USA,8,Female,5
86744,2015,USA,25,Male,4
86745,2015,USA,65,Male,2
86746,2015,USA,53,Female,2
86747,2015,USA,47,Male,5
86748,2015,USA,63,Male,2
86749,2015,USA,1,Female,3
86750,2015,USA,2,Male,5
86751,2015,USA,1,Female,6
86752,2015,USA,35,Female,4
86753,2015,USA,80,Female,2
86754,2015,USA,18,Male,3
86755,2015,USA,28,Male,4
86756,2015,USA,61,Female,2
86757,2015,USA,78,Male,2
86758,2015,USA,7,Male,3
86759,2015,USA,60,Female,3
86760,2015,USA,6,Male,5
86761,2015,USA,40,Female,3
86762,2015,USA,7,Male,4
86763,2015,USA,11,Male,5
86764,2015,USA,19,Male,4
86765,2015,USA,1,Male,5
86766,2015,USA,9,Male,3
86767,2015,USA,19,Male,4
86768,2015,USA,14,Male,6
86769,2015,USA,12,Female,5
86770,2015,USA,7,Male,7
86771,2015,USA,18,Male,6
86772,2015,USA,80,Male,3
86773,2015,USA,77,Female,3
86774,2015,USA,43,Male,4
86775,2015,USA,14,Female,5
86776,2015,USA,28,Female,4
86777,2015,USA,52,Male,3
86778,2015,USA,40,Female,4
86779,2015,USA,8,Male,3
86780,2015,USA,9,Female,4
86781,2015,USA,18,Female,5
86782,2015,USA,23,Female,7
86783,2015,USA,1,Male,5
86784,2015,USA,64,Male,2
86785,2015,USA,49,Female,3
86786,2015,USA,4,Male,7
86787,2015,USA,60,Female,2
86788,2015,USA,1,Female,7
86789,2015,USA,9,Male,6
86790,2015,USA,29,Male,3
86791,2015,USA,80,Female,1
86792,2015,USA,45,Male,1
86793,2015,USA,16,Female,5
86794,2015,USA,71,Male,1
86795,2015,USA,35,Female,3
86796,2015,USA,16,Female,7
86797,2015,USA,11,Female,3
86798,2015,USA,19,Male,5
86799,2015,USA,10,Male,3
86800,2015,USA,36,Female,4
86801,2015,USA,30,Male,7
86802,2015,USA,30,Female,7
86803,2015,USA,2,Female,2
86804,2015,USA,10,Male,4
86805,2015,USA,31,Female,6
86806,2015,USA,64,Male,2
86807,2015,USA,8,Male,6
86808,2015,USA,12,Male,7
86809,2015,USA,59,Male,1
86810,2015,USA,36,Female,5
86811,2015,USA,13,Female,4
86812,2015,USA,64,Female,7
86813,2015,USA,8,Male,7
86814,2015,USA,72,Male,1
86815,2015,USA,33,Male,4
86816,2015,USA,19,Male,5
86817,2015,USA,60,Male,7
86818,2015,USA,16,Female,2
86819,2015,USA,7,Male,4
86820,2015,USA,52,Male,6
86821,2015,USA,1,Female,3
86822,2015,USA,4,Male,5
86823,2015,USA,6,Male,4
86824,2015,USA,70,Male,2
86825,2015,USA,14,Male,5
86826,2015,USA,80,Female,2
86827,2015,USA,42,Female,7
86828,2015,USA,5.40E-79,Female,7
86829,2015,USA,37,Male,6
86830,2015,USA,71,Female,2
86831,2015,USA,70,Male,7
86832,2015,USA,2,Male,6
86833,2015,USA,26,Female,2
86834,2015,USA,8,Male,5
86835,2015,USA,5.40E-79,Female,5
86836,2015,USA,3,Female,7
86837,2015,USA,57,Male,4
86838,2015,USA,44,Female,5
86839,2015,USA,36,Female,1
86840,2015,USA,11,Male,4
86841,2015,USA,23,Female,5
86842,2015,USA,32,Male,3
86843,2015,USA,5,Female,5
86844,2015,USA,39,Male,7
86845,2015,USA,1,Female,3
86846,2015,USA,6,Female,6
86847,2015,USA,55,Male,1
86848,2015,USA,58,Male,1
86849,2015,USA,10,Male,6
86850,2015,USA,14,Female,5
86851,2015,USA,9,Male,5
86852,2015,USA,1,Female,4
86853,2015,USA,7,Male,4
86854,2015,USA,9,Female,4
86855,2015,USA,39,Female,4
86856,2015,USA,54,Male,2
86857,2015,USA,4,Female,4
86858,2015,USA,20,Female,4
86859,2015,USA,79,Male,2
86860,2015,USA,6,Male,5
86861,2015,USA,5.40E-79,Male,3
86862,2015,USA,2,Male,7
86863,2015,USA,24,Female,6
86864,2015,USA,48,Male,3
86865,2015,USA,9,Female,4
86866,2015,USA,1,Female,3
86867,2015,USA,8,Male,4
86868,2015,USA,22,Female,5
86869,2015,USA,7,Female,6
86870,2015,USA,25,Male,3
86871,2015,USA,73,Male,1
86872,2015,USA,66,Female,4
86873,2015,USA,15,Male,7
86874,2015,USA,4,Male,6
86875,2015,USA,66,Male,4
86876,2015,USA,38,Female,4
86877,2015,USA,40,Male,3
86878,2015,USA,79,Male,2
86879,2015,USA,63,Female,2
86880,2015,USA,10,Female,5
86881,2015,USA,51,Male,4
86882,2015,USA,41,Female,3
86883,2015,USA,51,Male,4
