t,m,i,F 00-03,F 04-08,F 09-13,F 14-18,F 19-30,F 31-50,F 51+,M 00-03,M 04-08,M 09-13,M 14-18,M 19-30,M 31-50,M 51+,log HSize
2012-13,Central,60170/03,,,,1,,,1,,,1,1,,,,1.386294361
2012-13,Central,60170/04,,1,2,,,1,,1,,,2,,1,,2.079441542
2012-13,Central,60170/06,,,,,,,1,,,,,,,,
2012-13,Central,60170/07,,,,,1,,,1,,,,1,,,1.098612289
2012-13,Central,60170/08,,1,1,1,,1,,1,,,,1,,,1.791759469
2012-13,Central,60170/09,,,,,,,1,,,,,,,1,0.6931471806
2012-13,Central,60170/10,,,,,,1,,,,,,,1,,0.6931471806
2012-13,Central,60170/11,,,,,,,1,,,,,,,,
2012-13,Central,60170/12,,1,,,,,,1,,,,1,,,1.098612289
2012-13,Central,60170/13,1,,,1,,1,,,,,,,,,1.098612289
2012-13,Central,60170/15,,,,,,,1,,,,,,,,
2012-13,Central,60171/01,,,,2,,1,,,,1,,,,,1.386294361
2012-13,Central,60171/02,,,,,,,,,,,,,1,,
2012-13,Central,60171/03,,,1,1,,1,,,,,,,,,1.098612289
2012-13,Central,60171/04,,,,,,1,,,,1,1,,,,1.098612289
2012-13,Central,60171/05,,,,,1,,,,1,,,,1,,1.098612289
2012-13,Central,60171/06,,,1,1,,1,,,,1,,,,,1.386294361
2012-13,Central,60171/07,,2,,,1,,,,,,,,,,1.098612289
2012-13,Central,60171/08,,,,,,,,,,,,1,,,
2012-13,Central,60171/09,,,1,1,1,1,,,,,,,,,1.386294361
2012-13,Central,60171/10,,1,,,,1,,1,,,,,,,1.098612289
2012-13,Central,60171/11,1,,,,,1,1,1,1,,,,,,1.609437912
2012-13,Central,60171/12,1,1,,,1,,,1,,,,,1,,1.609437912
2012-13,Central,60171/13,2,,,,1,,,,,,,1,,,1.386294361
2012-13,Central,60171/14,,,,,,1,,,1,,,,1,,1.098612289
2012-13,Central,60171/15,,,,,,,,,,,,1,,1,0.6931471806
2012-13,Central,60172/01,,,,1,,,1,,,,,,1,,1.098612289
2012-13,Central,60172/02,1,1,,1,,1,,,,,,,1,,1.609437912
2012-13,Central,60172/03,1,,,,1,,,1,,,,1,,,1.386294361
2012-13,Central,60172/04,,,1,1,1,1,,1,,,,,,,1.609437912
2012-13,Central,60172/05,,,,,1,,,,,,,1,,,0.6931471806
2012-13,Central,60172/06,1,,1,1,,1,,1,,1,2,,1,,2.197224577
2012-13,Central,60172/07,1,,,,1,,,1,,,,1,,,1.386294361
2012-13,Central,60172/08,,,,2,1,1,,,,,,,,,1.386294361
2012-13,Central,60172/09,,,,,,1,1,,,1,,,1,,1.386294361
2012-13,Central,60172/10,,,2,1,,,1,,,,,,,,1.386294361
2012-13,Central,60172/11,,1,,1,,1,,,,1,,,1,,1.609437912
2012-13,Central,60172/12,,,,,,,,,,,,1,,,
2012-13,Central,60172/13,1,2,,,1,1,,,,,,,1,,1.791759469
2012-13,Central,60172/14,,1,,,,1,,2,1,,,,1,,1.791759469
2012-13,Central,60172/15,,,1,,,,1,,2,,,,,,1.386294361
2012-13,Central,60173/01,,1,,1,,,1,,,,2,,,,1.609437912
2012-13,Central,60173/02,,,,,1,,,,,,,,1,,0.6931471806
2012-13,Central,60173/03,,,,,1,1,,,,,,1,,1,1.386294361
2012-13,Central,60173/04,,1,,,,1,,,,2,1,1,,1,1.945910149
2012-13,Central,60173/05,,,,,,,,,,,,,,1,
2012-13,Central,60173/06,,,,,,,2,,,,,,,1,1.098612289
2012-13,Central,60173/07,,,,,,,1,,,,,2,,1,1.386294361
2012-13,Central,60173/08,,,,,1,,,,,,,1,,,0.6931471806
2012-13,Central,60173/09,,,1,,,1,,,,,1,1,,1,1.609437912
2012-13,Central,60173/10,1,,,1,,,1,,1,,,,1,1,1.791759469
2012-13,Central,60173/11,,1,,,2,,1,1,,,2,,,,1.945910149
2012-13,Central,60173/12,1,,,,,1,,,2,,,,1,,1.609437912
2012-13,Central,60173/13,,,,,1,,,,,1,,,1,,1.098612289
2012-13,Central,60173/14,,,,1,1,,1,,,,1,,,1,1.609437912
2012-13,Central,60173/15,,,1,1,,1,,,,,,,1,,1.386294361
2012-13,Central,60174/01,,,,1,,,,1,,,,1,,,1.098612289
2012-13,Central,60174/02,,,,2,,1,,,,,,,,,1.098612289
2012-13,Central,60174/03,,,,,1,,1,,,,,,,,0.6931471806
2012-13,Central,60174/04,,,,,,,,,,,,2,,,0.6931471806
2012-13,Central,60174/05,,,,,,,,,,,,1,,,
2012-13,Central,60174/06,,,,,,,,,,,,1,,,
2012-13,Central,60174/07,1,1,,,1,,,,2,,,,1,,1.791759469
2012-13,Central,60174/08,2,,,,1,,,,,,,1,,,1.386294361
2012-13,Central,60174/09,,,,1,,,1,,1,,1,1,,,1.609437912
2012-13,Central,60174/10,,,1,,,1,,,1,,,,,,1.098612289
2012-13,Central,60174/11,,,1,,1,,,1,,,,,,,1.098612289
2012-13,Central,60174/12,,,,,,,1,,,,,,,,
2012-13,Central,60174/13,1,,,,1,,,,1,,,,1,,1.386294361
2012-13,Central,60174/14,,,1,,2,,,,1,,,,,,1.386294361
2012-13,Central,60174/15,,,,,1,,,,,,,,1,,0.6931471806
2012-13,Central,60175/01,,,,1,,1,,,,,1,,1,,1.386294361
2012-13,Central,60175/02,2,,,1,1,,,1,,,,1,,,1.791759469
2012-13,Central,60175/03,,,,,2,,,,,,,1,,,1.098612289
2012-13,Central,60175/04,,1,2,1,,1,,,1,,,,,1,1.945910149
2012-13,Central,60175/05,,,,2,1,1,,,,1,1,1,1,,2.079441542
2012-13,Central,60175/06,,,,,,,,,,,,,,1,
2012-13,Central,60175/07,1,,,,1,,,,,,,1,,,1.098612289
2012-13,Central,60175/08,1,1,,1,,1,,,1,,,,1,,1.791759469
2012-13,Central,60175/09,,,1,,1,,1,,,,,,,,1.098612289
2012-13,Central,60175/10,,,,,,,,,,,,2,,,0.6931471806
2012-13,Central,60175/11,,,,,1,1,,,,1,,,,,1.098612289
2012-13,Central,60175/12,1,1,,,1,1,,,1,1,2,,1,,2.197224577
2012-13,Central,60175/13,1,1,,,,1,,,1,1,,,1,,1.791759469
2012-13,Central,60175/14,,,,,,1,,,,,,,1,,0.6931471806
2012-13,Central,60175/15,,1,1,1,,1,,,,,,,,1,1.609437912
2012-13,Central,60176/01,1,,1,,,1,,,,1,,,,1,1.609437912
2012-13,Central,60176/03,,,,,,1,,,,,1,,,,0.6931471806
2012-13,Central,60176/06,,,,,,,1,,,,,,,,
2012-13,Central,60176/07,,,1,,1,1,,,1,,,1,,,1.609437912
2012-13,Central,60176/08,,,1,,1,,1,,1,1,,,,,1.609437912
2012-13,Central,60176/09,,,,1,,1,,,,2,2,2,1,,2.197224577
2012-13,Central,60176/10,,1,,,1,,,2,,,,,,,1.386294361
2012-13,Central,60176/11,2,1,,,3,1,,2,2,,,,1,,2.48490665
2012-13,Central,60176/12,2,1,,1,2,,1,1,2,,,,,1,2.397895273
2012-13,Central,60176/13,,,1,,1,,,1,1,1,,,1,,1.791759469
2012-13,Central,60176/14,,,,,,1,,,,1,,,,,0.6931471806
2012-13,Central,60177/01,1,,,,1,,,,,,,1,,,1.098612289
2012-13,Central,60177/02,,,,,,,,,,,,1,,,
2012-13,Central,60177/03,,1,,,,1,,,1,1,1,,1,,1.791759469
2012-13,Central,60177/04,,,,,,,1,,,,2,,,,1.098612289
2012-13,Central,60177/05,,,,,,,2,,1,,,,,,1.098612289
2012-13,Central,60177/06,,1,,1,,1,,,,1,,,,,1.386294361
2012-13,Central,60177/08,,1,,2,,1,1,,,1,,,,1,1.945910149
2012-13,Central,60177/09,,,1,1,,,2,,,,,,,,1.386294361
2012-13,Central,60177/11,,,,,,,1,,1,2,,,,,1.386294361
2012-13,Central,60177/12,,1,,,,1,1,,,1,,,,,1.386294361
2012-13,Central,60177/13,,,,,1,,1,1,,,,,,,1.098612289
2012-13,Central,60177/14,,,1,,1,1,,,,,,1,,,1.386294361
2012-13,Central,60177/15,,,,,,,1,1,,,,,,1,1.098612289
2012-13,Central,60178/01,1,,,,1,,1,1,,,,,1,,1.609437912
2012-13,Central,60178/02,,,,1,,1,,,,,1,1,1,,1.609437912
2012-13,Central,60178/04,1,,,,1,,,1,1,,,,1,,1.609437912
2012-13,Central,60178/05,,1,,,1,,,,,1,,1,,,1.386294361
2012-13,Central,60178/06,,1,3,,1,,1,,1,,,,,1,2.079441542
2012-13,Central,60178/08,1,,1,,1,,,1,1,,,,,,1.609437912
2012-13,Central,60178/09,,2,2,,,1,,,,,,,1,,1.791759469
2012-13,Central,60178/11,,,,,2,,1,,,,,,,,1.098612289
2012-13,Central,60178/12,,,,1,,1,1,1,,,,,,,1.386294361
2012-13,Central,60178/13,,,1,,,1,,,1,1,,,,,1.386294361
2012-13,Central,60178/14,,,,,,1,,,,,,1,,,0.6931471806
2012-13,Central,60178/15,,,,,,1,,,,,,,,,
2012-13,Central,60179/01,,,,,,,1,,,,,,,,
2012-13,Central,60179/02,1,,,,1,,,,,,,,1,,1.098612289
2012-13,Central,60179/03,,,,,,,1,,,,,,,,
2012-13,Central,60179/04,,,2,,,1,1,,,,,,,,1.386294361
2012-13,Central,60179/05,,,1,,1,,1,,,,1,1,,,1.609437912
2012-13,Central,60179/06,,,,,,,,,,,,,,1,
2012-13,Central,60179/07,,,,,1,,,,,,,,,,
2012-13,Central,60179/08,,,,,,,2,,,,,,,,0.6931471806
2012-13,Central,60179/09,,,,,,,1,,,,,,,,
2012-13,Central,60179/10,,,,,,,1,,,,1,,,,0.6931471806
2012-13,Central,60179/11,,1,1,,,1,1,,,,1,1,,,1.791759469
2012-13,Central,60179/12,,,,,,,,,,,,1,,,
2012-13,Central,60179/13,,,,,,1,1,,,,,,,,0.6931471806
2012-13,Central,60179/14,,,,,1,1,1,1,,,,,,1,1.609437912
2012-13,Central,60179/15,,,,,1,1,,,1,1,,,,,1.386294361
2012-13,Central,60180/01,,,,,,1,,,,,,,,,
2012-13,Central,60180/02,,,,1,,1,,,,,1,,,,1.098612289
2012-13,Central,60180/03,,1,,,,1,,1,1,1,,,,,1.609437912
2012-13,Central,60180/04,,,,,1,1,,,,,,,,,0.6931471806
2012-13,Central,60180/05,1,1,1,,1,,,,,,,,1,,1.609437912
2012-13,Central,60180/07,,,,,,,,,,,,,,1,
2012-13,Central,60180/08,,,,,,,,,,,,,1,,
2012-13,Central,60180/09,,,,,,,,,,,,,,1,
2012-13,Central,60180/10,,,,1,,,1,,,,,,,,0.6931471806
2012-13,Central,60180/11,,,,,,,,,,,,,,1,
2012-13,Central,60180/12,,,,,,,,,,,,1,,,
2012-13,Central,60180/14,,,1,,,,1,,1,1,,,,,1.386294361
2012-13,Central,60180/15,,,,,,1,,,,,,1,,,0.6931471806
2012-13,Central,60181/01,,,,,,,,,,,,1,,,
2012-13,Central,60181/02,1,,,,1,,,,,,,,1,,1.098612289
2012-13,Central,60181/03,,,,,,,,,,,,1,,,
2012-13,Central,60181/04,,,,,,,1,,,,,,,,
2012-13,Central,60181/05,,,1,1,1,1,,1,1,,,,,,1.791759469
2012-13,Central,60181/06,,,,,,,,,,,,,1,,
2012-13,Central,60181/07,,,,,,1,,,,1,,,,,0.6931471806
2012-13,Central,60181/08,1,,,,1,,,,1,,,1,,,1.386294361
2012-13,Central,60181/09,,,,,1,1,,,,1,,,1,,1.386294361
2012-13,Central,60181/10,,,,,1,,,,,,,,,,
2012-13,Central,60181/11,,,,,1,,,,,,,,1,,0.6931471806
2012-13,Central,60181/12,,,,,1,,1,,,1,,,,,1.098612289
2012-13,Central,60181/13,,2,,,1,,1,1,,,,2,,,1.945910149
2012-13,Central,60181/14,1,1,,,1,,,,,,,1,,,1.386294361
2012-13,Central,60181/15,,,,,,,,,,,,1,,,
2012-13,Central,60182/01,,1,1,,1,,1,,1,1,1,2,,1,2.302585093
2012-13,Central,60182/02,,1,,1,,1,,,,,1,2,1,,1.945910149
2012-13,Central,60182/03,1,,,,1,,,1,1,,,,1,,1.609437912
2012-13,Central,60182/04,,,,1,,1,,,,,1,,1,,1.386294361
2012-13,Central,60182/05,,,,,,1,,,1,,,,1,,1.098612289
2012-13,Central,60182/06,,,,,,,,,1,,,,1,,0.6931471806
2012-13,Central,60182/07,1,,,,2,,,1,,,,,1,,1.609437912
2012-13,Central,60182/08,,2,1,,,1,,,,,,,1,,1.609437912
2012-13,Central,60182/09,,,1,,,1,,,1,1,,,1,,1.609437912
2012-13,Central,60182/10,1,1,1,,2,1,,1,1,,,,1,,2.197224577
2012-13,Central,60182/11,,,,,,,,,,,,1,,,
2012-13,Central,60182/12,,,1,1,,1,,,,,1,,1,,1.609437912
2012-13,Central,60182/13,,,,,1,,,,,,,1,,,0.6931471806
2012-13,Central,60182/14,,,,,1,,,1,,,,,,,0.6931471806
2012-13,Central,60182/15,,,,,1,,,1,,,,,1,,1.098612289
2012-13,Central,60183/01,,,,,,1,,,,,1,,,1,1.098612289
2012-13,Central,60183/02,,,,1,1,,1,,,,,1,,1,1.609437912
2012-13,Central,60183/03,,,,,1,,,2,1,,,,1,,1.609437912
2012-13,Central,60183/04,,,2,1,,1,,2,2,1,2,,1,,2.48490665
2012-13,Central,60183/05,,,,,,,,,,,,1,,,
2012-13,Central,60183/06,,1,,,1,,,,,,,,1,,1.098612289
2012-13,Central,60183/07,,,1,,1,,1,,,,1,,,,1.386294361
2012-13,Central,60183/08,,,1,,,1,,1,2,,,,,,1.609437912
2012-13,Central,60183/09,,,,,,1,,,1,2,,,1,,1.609437912
2012-13,Central,60183/10,,,,,,1,,2,,,,,1,,1.386294361
2012-13,Central,60183/11,1,1,,,1,,,,1,1,1,,,1,1.945910149
2012-13,Central,60183/12,,1,,,1,,,,,,,,,,0.6931471806
2012-13,Central,60183/13,,,1,1,,1,,,1,,,1,1,,1.791759469
2012-13,Central,60183/14,,,1,,1,1,,1,,,,1,,,1.609437912
2012-13,Central,60183/15,1,,,,1,,,,,,,,1,,1.098612289
2012-13,Central,60184/01,,,,1,1,2,,,1,1,,,,,1.791759469
2012-13,Central,60184/02,,1,,2,,,1,,,,,1,1,1,1.945910149
2012-13,Central,60184/03,1,,,,,1,,,1,,,1,1,,1.609437912
2012-13,Central,60184/04,,,1,,1,1,,,,1,1,1,,,1.791759469
2012-13,Central,60184/05,,,,,,,,,,,,1,,,
2012-13,Central,60184/06,,,,,1,,,,,,,,,,
2012-13,Central,60184/07,,,,,,,,,,,,1,,,
2012-13,Central,60184/08,,,1,1,,1,,1,,,,,,,1.386294361
2012-13,Central,60184/09,,,,,,,,,,,2,1,,,1.098612289
2012-13,Central,60184/10,,,,,,1,,,,,,,1,,0.6931471806
2012-13,Central,60184/11,2,,3,,,1,,,1,,,,1,,2.079441542
2012-13,Central,60184/12,,,1,,,1,,1,1,1,,,,,1.609437912
2012-13,Central,60184/13,2,2,1,,1,1,,1,1,1,,,1,,2.397895273
2012-13,Central,60184/14,,,,,,,,,,,,,1,,
2012-13,Central,60184/15,,,,,,1,,1,,,,,1,,1.098612289
2012-13,Central,60185/01,,1,,,1,1,2,,1,,2,,,1,2.197224577
2012-13,Central,60185/02,,,,,,,1,,,,,,,,
2012-13,Central,60185/03,,,1,1,,1,1,,,,,,,,1.386294361
2012-13,Central,60185/04,,,,1,,1,,,,,1,1,,1,1.609437912
2012-13,Central,60185/05,,,1,,1,,1,,,,,2,,1,1.791759469
2012-13,Central,60185/06,,,,,1,,,,,,,,,,
2012-13,Central,60185/07,,,2,1,1,,1,,,,,,,1,1.791759469
2012-13,Central,60185/08,,,,,1,,,,,,,,,,
2012-13,Central,60185/09,,,,,,,,,,,,,,1,
2012-13,Central,60185/10,,,,,,,1,,,,1,1,,1,1.386294361
2012-13,Central,60185/11,,2,,1,,1,,,,,,1,1,,1.791759469
2012-13,Central,60185/12,,,,,,,,,,,,1,,,
2012-13,Central,60185/13,,,1,,,1,,,2,,,,1,,1.609437912
2012-13,Central,60185/14,1,,,,1,,,,,,,,1,,1.098612289
2012-13,Central,60185/15,,,,,1,,,,,,,1,,,0.6931471806
2012-13,Central,60186/01,,,,2,1,1,1,,2,,,,1,,2.079441542
2012-13,Central,60186/02,,1,,,,1,,,2,,,,1,,1.609437912
2012-13,Central,60186/03,,,,,,,,,,,2,,,,0.6931471806
2012-13,Central,60186/04,,,,1,,1,,1,,,,,,1,1.386294361
2012-13,Central,60186/05,,,,,,,,,,,,,1,,
2012-13,Central,60186/06,,,,3,,1,,,,,,,,1,1.609437912
2012-13,Central,60186/07,,2,,,,1,,1,,,,,1,,1.609437912
2012-13,Central,60186/08,,,,,,,,,,,,1,,,
2012-13,Central,60186/09,,1,3,1,,1,,,,,,,1,,1.945910149
2012-13,Central,60186/10,,,1,,,1,,,1,1,,1,1,,1.791759469
2012-13,Central,60186/11,,,,,,,1,,,,,1,,1,1.098612289
2012-13,Central,60186/12,1,,1,,1,,,1,,,,,1,,1.609437912
2012-13,Central,60186/13,,1,,2,2,1,,,1,,,1,,,2.079441542
2012-13,Central,60186/14,,1,,1,,,,,,,,,1,,1.098612289
2012-13,Central,60186/15,,1,,,,1,,,,1,1,1,,1,1.791759469
2012-13,Central,60187/01,,1,1,,,1,1,,,,,,,,1.386294361
2012-13,Central,60187/02,,,,1,,1,,,,,1,,,,1.098612289
2012-13,Central,60187/03,,,,,1,,,1,1,,,1,,,1.386294361
2012-13,Central,60187/04,,,,,,,1,,,1,,,,,0.6931471806
2012-13,Central,60187/05,,,,,,,,,,,,1,,,
2012-13,Central,60187/06,,1,,,,1,,,1,,,,,,1.098612289
2012-13,Central,60187/07,,,1,,,,1,,,,,,,,0.6931471806
2012-13,Central,60187/08,,,,,,,1,,,,,,1,,0.6931471806
2012-13,Central,60187/09,,,,1,,,1,,,,,,,,0.6931471806
2012-13,Central,60187/10,1,,,,1,,,1,,,,,,,1.098612289
2012-13,Central,60187/11,,,,,1,,,,,,,,,,
2012-13,Central,60187/12,,,,,,,,,,,,1,,,
2012-13,Central,60187/13,,,,,,,,,,,,,,1,
2012-13,Central,60187/14,1,1,,,,1,,,,1,,,,,1.386294361
2012-13,Central,60187/15,,,,,,1,,,1,,,,,,0.6931471806
2012-13,Central,60188/01,,1,,,,,,,,,,,,1,0.6931471806
2012-13,Central,60188/02,,,,1,,1,,,,,,,,,0.6931471806
2012-13,Central,60188/03,2,1,,,,1,,,,1,1,,1,,1.945910149
2012-13,Central,60188/04,,,,,,,1,,,,,,,,
2012-13,Central,60188/05,,,,,,,1,,,,1,,,,0.6931471806
2012-13,Central,60188/06,,,,,,,,,,,,,1,,
2012-13,Central,60188/07,1,,,,,1,,,,1,,,,,1.098612289
2012-13,Central,60188/08,,1,,,,1,,1,1,2,,,,,1.791759469
2012-13,Central,60188/09,,,,,1,1,,,,,,,,,0.6931471806
2012-13,Central,60188/10,1,,,,1,,,,,,,,1,,1.098612289
2012-13,Central,60188/11,,,,,,,,,,,,1,,,
2012-13,Central,60188/12,,,,,1,,,,,,,,1,,0.6931471806
2012-13,Central,60188/13,,,1,3,,1,,1,2,1,,,,,2.197224577
2012-13,Central,60188/14,,,1,,1,,,,,,,,1,,1.098612289
2012-13,Central,60188/15,,,1,,,,1,,,1,2,,,,1.609437912
2012-13,Central,60189/01,,,,,,,,,,,,,1,,
2012-13,Central,60189/02,,,,,1,,,,,,,,,,
2012-13,Central,60189/03,,,,,,,1,,,,,,,,
2012-13,Central,60189/04,1,2,,,1,,,,,,,1,,,1.609437912
2012-13,Central,60189/05,,,,1,,,1,,,1,,,,,1.098612289
2012-13,Central,60189/06,,1,,,1,,,,,,,1,,,1.098612289
2012-13,Central,60189/07,,,,,,1,,,,1,,1,,1,1.386294361
2012-13,Central,60189/08,,,,,1,,,2,,,,1,,,1.386294361
2012-13,Central,60189/09,,,,,,,,,,,,1,,,
2012-13,Central,60189/10,2,1,1,,,1,,,,,1,,1,,1.945910149
2012-13,Central,60189/11,,,,1,,1,,,,1,,1,1,,1.609437912
2012-13,Central,60189/12,,,,,,,,,,,,1,,,
2012-13,Central,60189/13,,1,,,,1,,,,1,,,1,,1.386294361
2012-13,Central,60189/14,1,,,,1,,,,,1,,1,,,1.386294361
2012-13,Central,60189/15,,,1,,,1,,,,,,,1,,1.098612289
2012-13,Central,60190/01,,,,1,1,1,,,,1,1,,,1,1.791759469
2012-13,Central,60190/02,,,,,1,,,1,,,,,1,,1.098612289
2012-13,Central,60190/03,1,,,,,1,,1,1,,,,1,,1.609437912
2012-13,Central,60190/04,,,1,,,1,,1,2,,,,,,1.609437912
2012-13,Central,60190/05,,,,,,,,,,,,1,,,
2012-13,Central,60190/06,,,,,,1,,,,,,,,,
2012-13,Central,60190/07,,,,,,,,,,,,1,,,
2012-13,Central,60190/08,1,,,,1,,,,,,,1,,,1.098612289
2012-13,Central,60190/09,,,,,1,,,,,,,,1,,0.6931471806
2012-13,Central,60190/10,1,,,,1,,,,,,,,1,,1.098612289
2012-13,Central,60190/11,,1,,,1,1,,1,1,,,,,1,1.791759469
2012-13,Central,60190/12,,1,,,1,,,,1,1,,,1,,1.609437912
2012-13,Central,60190/13,,,2,1,1,1,,,,,,,1,,1.791759469
2012-13,Central,60190/14,,2,,,,1,,1,,,,,,,1.386294361
2012-13,Central,60190/15,,,,,,,,,,,,1,,,
2012-13,Central,60191/01,,,,,,,,,,,,,1,,
2012-13,Central,60191/02,,1,3,2,1,2,1,2,2,,1,,,,2.708050201
2012-13,Central,60191/03,,,,,,1,,,,,2,,1,,1.386294361
2012-13,Central,60191/04,,,1,,,1,,,,1,3,,1,,1.945910149
2012-13,Central,60191/05,2,,,,1,,,,,,,,1,,1.386294361
2012-13,Central,60191/06,,1,,,,2,2,,,4,1,1,2,,2.564949357
2012-13,Central,60191/07,,,,1,1,,1,,,1,,1,,1,1.791759469
2012-13,Central,60191/08,,2,,,,,1,,,,,1,1,,1.609437912
2012-13,Central,60191/09,,,,,,,1,,,,,,,,
2012-13,Central,60191/10,,1,,,1,1,,,,1,1,1,1,,1.945910149
2012-13,Central,60191/11,1,,,,,1,,,1,1,,,1,,1.609437912
2012-13,Central,60191/12,,2,1,,,1,,,,,1,,1,,1.791759469
2012-13,Central,60191/13,,,,,,,1,,,,,,,,
2012-13,Central,60191/14,,,,1,,1,,,2,,,1,,,1.609437912
2012-13,Central,60191/15,,,,,,,,,,,,1,,,
2012-13,Central,60192/01,1,,,,1,,,1,,,,,,,1.098612289
2012-13,Central,60192/02,,,,,,,1,,,,,1,,,0.6931471806
2012-13,Central,60192/03,,1,,,,1,,1,,1,,,,,1.386294361
2012-13,Central,60192/04,,,,,,,1,,,,,,,,
2012-13,Central,60192/05,,,,,,,,,,,,,1,,
2012-13,Central,60192/06,,,,,,,,,,,,,,1,
2012-13,Central,60192/07,,1,1,,,1,,,,1,1,,,1,1.791759469
2012-13,Central,60192/08,,,,1,1,1,,1,,1,,,1,,1.791759469
2012-13,Central,60192/09,,3,1,,1,1,1,,,,,2,,,2.197224577
2012-13,Central,60192/10,,,,,,,,,,,,,1,,
2012-13,Central,60192/11,,,1,,1,,,,1,,,,,,1.098612289
2012-13,Central,60192/12,,,,,1,,,,,,,,,,
2012-13,Central,60192/13,,,,,,,,,,,,,,1,
2012-13,Central,60192/14,,,,1,1,,2,,,,1,,,,1.609437912
2012-13,Central,60192/15,,,,,,1,,,,,,,,,
2012-13,Central,60193/01,,,1,1,,1,,1,1,,,,,,1.609437912
2012-13,Central,60193/02,,,,,1,,,1,,,,1,,,1.098612289
2012-13,Central,60193/03,,,1,,,1,,,,,1,,,,1.098612289
2012-13,Central,60193/04,1,,,,1,,,,1,,,,1,,1.386294361
2012-13,Central,60193/05,,,1,,,1,,,1,,1,1,1,,1.791759469
2012-13,Central,60193/06,,,,1,1,1,,,,,,,,1,1.386294361
2012-13,Central,60193/07,2,1,,2,,1,,1,,1,,,,,2.079441542
2012-13,Central,60193/08,,,,,,1,1,,1,,,,,,1.098612289
2012-13,Central,60193/09,,1,,,1,,,,,1,,,1,,1.386294361
2012-13,Central,60193/10,1,1,,,1,,,,,,,,1,,1.386294361
2012-13,Central,60193/11,,,,1,1,,,1,1,2,1,2,1,,2.302585093
2012-13,Central,60193/12,,,,,,,,,,,,,,1,
2012-13,Central,60193/13,1,,1,,,1,,,,,,,1,,1.386294361
2012-13,Central,60193/14,,1,,,1,,,,,,,1,,,1.098612289
2012-13,Central,60193/15,,1,,1,,1,,,,1,,,,,1.386294361
2012-13,Central,60194/01,,,,1,,,,,,,,1,,,0.6931471806
2012-13,Central,60194/02,,1,,,,1,,,,2,,,1,,1.609437912
2012-13,Central,60194/03,,,,,,,2,,,,,,,2,1.386294361
2012-13,Central,60194/04,,,1,,,1,,,,,,,1,,1.098612289
2012-13,Central,60194/05,,,,,1,,,,1,,,1,,,1.098612289
2012-13,Central,60194/06,,,2,,1,1,,,1,,1,,1,,1.945910149
2012-13,Central,60194/07,1,,,,,1,,,1,2,,,1,,1.791759469
2012-13,Central,60194/08,,,,,,,,,,,1,,,,
2012-13,Central,60194/09,1,2,,,,1,,,,2,,,1,,1.945910149
2012-13,Central,60194/10,1,,,,1,,,,,,,1,,,1.098612289
2012-13,Central,60194/11,1,1,2,,,,1,,1,2,1,,,1,2.302585093
2012-13,Central,60194/12,,,,,2,,,,,,,,,1,1.098612289
2012-13,Central,60194/13,,,,1,,1,1,,,,,1,,,1.386294361
2012-13,Central,60194/14,1,,,,1,,,,,,,,1,,1.098612289
2012-13,Central,60194/15,,,,,,,,,,,,,1,,
2012-13,Central,60195/01,,,,,,,1,,,,,,,,
2012-13,Central,60195/02,,,,,,,,,,,,1,,,
2012-13,Central,60195/03,,1,,,,1,,1,,,,,,,1.098612289
2012-13,Central,60195/04,,1,,,,1,,,1,,,,,,1.098612289
2012-13,Central,60195/05,,2,,1,,1,,1,,1,,,1,,1.945910149
2012-13,Central,60195/06,,,,2,,1,,,,1,1,,1,,1.791759469
2012-13,Central,60195/09,,,,,,1,,1,,,,,,,0.6931471806
2012-13,Central,60195/11,,,,,,,1,,,,,,,,
2012-13,Central,60195/12,,,,,1,,,1,1,,,,1,,1.386294361
2012-13,Central,60195/13,,,,,,,1,,,,,,,,
2012-13,Central,60195/14,,,,,,,1,,,,,,,,
2012-13,Central,60195/15,,,,,,,1,,,1,,,,,0.6931471806
2012-13,Central,60196/01,,,,,1,,,,,,,,,,
2012-13,Central,60196/02,,,,,,,1,,,,,,,1,0.6931471806
2012-13,Central,60196/03,,,,,,,,,,,,,1,,
2012-13,Central,60196/04,,1,1,,,1,,,,1,1,,1,,1.791759469
2012-13,Central,60196/05,,1,,,,,1,,,,,,,,0.6931471806
2012-13,Central,60196/07,,,,,,1,,,,,,,1,,0.6931471806
2012-13,Central,60196/08,,,,,,,1,,,,,,,,
2012-13,Central,60196/09,,,,,,,,,,,,,,1,
2012-13,Central,60196/10,,,1,,,1,,1,1,1,,,1,,1.791759469
2012-13,Central,60196/11,,,,,,1,,,,,,,1,,0.6931471806
2012-13,Central,60196/12,1,,1,,,1,,,,,1,,,1,1.609437912
2012-13,Central,60196/13,,,,,,,1,,,,,,,,
2012-13,Central,60196/14,,,,,,,,,,,,1,,,
2012-13,Central,60196/15,,,,,,,,,,,,1,,,
2012-13,Central,60197/01,,2,,,1,,,,1,,,,,,1.386294361
2012-13,Central,60197/02,,2,,,,1,,,,,,,,,1.098612289
2012-13,Central,60197/03,,,1,1,,1,,,,,,1,,,1.386294361
2012-13,Central,60197/04,1,1,,,1,,,,,,,,1,,1.386294361
2012-13,Central,60197/05,,,,,,,,,,,,,1,,
2012-13,Central,60197/06,,,,,,1,,,,,,,1,,0.6931471806
2012-13,Central,60197/07,,,,,,,2,,,,,,,,0.6931471806
