t,m,i,F 00-03,F 04-08,F 09-13,F 14-18,F 19-30,F 31-50,F 51+,M 00-03,M 04-08,M 09-13,M 14-18,M 19-30,M 31-50,M 51+,log HSize
2012-13,Western,60006/15,,,,1,,,1,,,,,,,,0.6931471806
2012-13,Western,60007/01,,1,,,,1,,,,,2,,1,,1.609437912
2012-13,Western,60007/02,1,,,,1,,,,1,,,1,,,1.386294361
2012-13,Western,60007/03,,,,,,,,,,,,1,,,
2012-13,Western,60007/04,,,,,,1,,,,,,,1,,0.6931471806
2012-13,Western,60007/05,,,,,1,,,,,,,,,,
2012-13,Western,60007/06,1,,1,,1,,,,,3,,,1,,1.945910149
2012-13,Western,60007/07,,,,,,,,,,,,,1,,
2012-13,Western,60007/08,,,,,,,,,,,,,1,,
2012-13,Western,60007/09,1,,,,1,,,,,,,1,,,1.098612289
2012-13,Western,60007/10,,,,,,,,,,,,1,,,
2012-13,Western,60007/11,2,,,,1,,,,,,,1,,,1.386294361
2012-13,Western,60007/12,1,,2,,1,,,,,,,1,,,1.609437912
2012-13,Western,60007/13,,,,,,1,,,,,,1,,,0.6931471806
2012-13,Western,60007/14,,,,,1,,,,1,,,,1,,1.098612289
2012-13,Western,60007/15,,,,,,1,,,,2,1,,1,,1.609437912
2012-13,Western,60008/01,,,,,,,,,,,,1,1,,0.6931471806
2012-13,Western,60008/02,,,,,,,,,,,,,1,,
2012-13,Western,60008/03,,,,,,,,,,,,1,,,
2012-13,Western,60008/04,,,,,,,,,,,,,,1,
2012-13,Western,60008/05,2,,,,1,,,,,,,,,,1.098612289
2012-13,Western,60008/06,,1,,,,1,,,,,,,,,0.6931471806
2012-13,Western,60008/07,,1,,,,1,,1,,1,1,,1,,1.791759469
2012-13,Western,60008/08,,,,1,,1,,,,,,1,1,,1.386294361
2012-13,Western,60008/09,,,,,,,,,,,,1,,,
2012-13,Western,60008/10,,,2,,,1,,,2,,1,1,,1,2.079441542
2012-13,Western,60008/11,,,,,,,,,,,,1,,,
2012-13,Western,60008/12,,,1,,,1,1,,,,1,1,1,,1.791759469
2012-13,Western,60008/13,,1,,2,,2,1,,,1,1,,1,,2.197224577
2012-13,Western,60008/14,1,,,,1,,,1,,,,1,,,1.386294361
2012-13,Western,60008/15,,,,,1,,,2,1,,,1,,,1.609437912
2012-13,Western,60009/01,,2,1,,1,,,,,,,1,,,1.609437912
2012-13,Western,60009/02,,,,,,,,,,,,1,,,
2012-13,Western,60009/03,,,,,,,,,,,,1,,,
2012-13,Western,60009/04,,,,,1,,,,,,,,,,
2012-13,Western,60009/05,,1,,,,1,,,1,1,,,1,,1.609437912
2012-13,Western,60009/06,,2,2,,,1,,1,,,1,,1,,2.079441542
2012-13,Western,60009/07,,1,,,1,,,1,,,,1,,,1.386294361
2012-13,Western,60009/08,1,1,1,,,1,,,1,,,,1,,1.791759469
2012-13,Western,60009/09,,1,,,,1,,,,,,,,,0.6931471806
2012-13,Western,60009/10,,,,,,,1,,,,,,,1,0.6931471806
2012-13,Western,60009/11,,2,1,,,,1,,,,,,,1,1.609437912
2012-13,Western,60009/12,,1,1,,,1,,,,,,,1,,1.386294361
2012-13,Western,60009/13,,,,,,,,,,,,1,,,
2012-13,Western,60009/14,,,,1,1,,2,,,,,,,,1.386294361
2012-13,Western,60009/15,,,,1,1,,1,,,,,1,,,1.386294361
2012-13,Western,60010/01,,,,,,,,,,1,,,1,,0.6931471806
2012-13,Western,60010/02,,,,,1,,,1,2,,1,,1,,1.791759469
2012-13,Western,60010/03,,,,,1,,,1,1,1,,,1,,1.609437912
2012-13,Western,60010/04,,,,,,,,,,,1,2,1,,1.386294361
2012-13,Western,60010/05,,,,,,,1,,,,,,,1,0.6931471806
2012-13,Western,60010/06,1,,,,,,1,,,1,2,,,1,1.791759469
2012-13,Western,60010/07,,,,,,1,,1,1,,1,,1,,1.609437912
2012-13,Western,60010/08,,,,1,1,,,,,,1,,,,1.098612289
2012-13,Western,60010/09,1,,1,,,1,,,1,,1,,1,,1.791759469
2012-13,Western,60010/10,,1,1,,,1,,1,1,,,,,,1.609437912
2012-13,Western,60010/11,,1,,1,1,,,1,,,,,1,,1.609437912
2012-13,Western,60010/12,,1,,1,,1,,1,1,1,,,,,1.791759469
2012-13,Western,60010/13,,,1,,,1,,,1,,1,,1,,1.609437912
2012-13,Western,60010/14,,,,,,,1,,,,,,,,
2012-13,Western,60010/15,,1,,,,1,,1,,,1,,1,,1.609437912
2012-13,Western,60011/01,,,1,,,,1,,2,1,,1,,,1.791759469
2012-13,Western,60011/02,,1,,,,,2,,,,,,,,1.098612289
2012-13,Western,60011/03,,,,,,,1,,,,,,,,
2012-13,Western,60011/04,,,,,3,,2,,,1,,2,,1,2.197224577
2012-13,Western,60011/05,1,,,1,1,2,,1,,,,2,1,,2.197224577
2012-13,Western,60011/06,,,1,1,,1,,,1,1,,,1,,1.791759469
2012-13,Western,60011/07,,,1,,,1,,,1,1,3,,1,,2.079441542
2012-13,Western,60011/08,,,,1,,1,,,,,,,,1,1.098612289
2012-13,Western,60011/09,,1,,1,,1,,1,,,1,1,1,,1.945910149
2012-13,Western,60011/10,1,,,,1,,,,,,,1,,,1.098612289
2012-13,Western,60011/11,,,,1,,,1,,,,,,,,0.6931471806
2012-13,Western,60011/12,,,,,,1,,,,,,,1,,0.6931471806
2012-13,Western,60011/13,1,1,,,,,1,,,,,,,,1.098612289
2012-13,Western,60011/14,,,2,1,1,,2,,1,,,,,,1.945910149
2012-13,Western,60011/15,,,,1,1,1,,,,3,,1,1,,2.079441542
2012-13,Western,60012/01,,,,,,,,,,,,,,1,
2012-13,Western,60012/02,,,1,1,,1,,,2,,,,,,1.609437912
2012-13,Western,60012/03,1,,,,1,,,,,,,1,,,1.098612289
2012-13,Western,60012/04,1,1,1,,,1,,,,,,,,,1.386294361
2012-13,Western,60012/05,1,1,,,1,,,,,,,1,,,1.386294361
2012-13,Western,60012/06,1,,,,1,,,,1,,,,,,1.098612289
2012-13,Western,60012/07,,,,,,,1,,,,,,,1,0.6931471806
2012-13,Western,60012/08,,,,,1,,,,1,,,,,,0.6931471806
2012-13,Western,60012/09,,1,1,,,,1,,,,,,,1,1.386294361
2012-13,Western,60012/10,,,2,,1,,,1,,,,1,,,1.609437912
2012-13,Western,60012/11,1,,,,1,,,,,,,1,,,1.098612289
2012-13,Western,60012/12,,,,,1,,1,,,1,1,,,,1.386294361
2012-13,Western,60012/13,,,1,,,1,,,,,,,,,0.6931471806
2012-13,Western,60012/14,1,,,1,,,,,,,,1,,,1.098612289
2012-13,Western,60012/15,,,1,1,,,1,,2,1,1,,,,1.945910149
2012-13,Western,60013/01,,,,,,,,,,,,,1,,
2012-13,Western,60013/02,1,2,,,,1,,,,1,,,1,,1.791759469
2012-13,Western,60013/03,,,,,1,,,,,,,1,,,0.6931471806
2012-13,Western,60013/04,,1,,,1,,,,1,,,,1,,1.386294361
2012-13,Western,60013/07,,,,,,,,,,,,,1,,
2012-13,Western,60013/08,,,1,1,1,1,,,3,,1,1,1,,2.302585093
2012-13,Western,60013/09,,,,,,,,,,,,1,,,
2012-13,Western,60013/10,,1,1,,,1,,1,,1,,,1,,1.791759469
2012-13,Western,60013/11,,,,,,,,,,,,,,1,
2012-13,Western,60013/12,,,,,1,,,,,,,,,,
2012-13,Western,60013/13,2,1,1,,1,,,,,,,,1,,1.791759469
2012-13,Western,60013/14,,,,,,,,,,,,,1,,
2012-13,Western,60013/15,,,,,,,,,,,,1,,,
2012-13,Western,60014/01,,,,,1,1,,1,,,,,1,,1.386294361
2012-13,Western,60014/02,1,,,,,1,,,1,1,,,1,,1.609437912
2012-13,Western,60014/03,,,,1,1,,,,,,2,,,1,1.609437912
2012-13,Western,60014/04,,,,,,,1,,,,,,,,
2012-13,Western,60014/05,,,,,,,,,,,,,1,,
2012-13,Western,60014/06,1,,,1,,1,,,,1,,,1,,1.609437912
2012-13,Western,60014/07,,,,,1,,,1,1,1,,,1,,1.609437912
2012-13,Western,60014/08,,1,1,,1,,,,1,,,,1,,1.609437912
2012-13,Western,60014/09,,1,1,,,1,,,,1,,,,,1.386294361
2012-13,Western,60014/10,1,,,,1,,,1,1,,,1,,,1.609437912
2012-13,Western,60014/11,,,1,,,1,,,2,,,,,,1.386294361
2012-13,Western,60014/12,,,,,,1,,1,1,,,1,,,1.386294361
2012-13,Western,60014/13,,1,,,1,,,1,1,,,1,,,1.609437912
2012-13,Western,60014/14,,,,,1,1,,,,1,,1,,,1.386294361
2012-13,Western,60014/15,,,2,,,,,,,,1,,1,,1.386294361
2012-13,Western,60015/01,,,,,,,,,,,,1,,,
2012-13,Western,60015/02,,,,,,,,,,,,,1,,
2012-13,Western,60015/03,1,,,,1,,,1,,,,1,,,1.386294361
2012-13,Western,60015/04,1,2,,,1,,,,,,,,1,,1.609437912
2012-13,Western,60015/05,,1,,,,1,,1,,,,,1,,1.386294361
2012-13,Western,60015/06,,,,,,,,,,,,,,1,
2012-13,Western,60015/07,,,,,,1,,,,,,,,,
2012-13,Western,60015/08,1,1,1,,,1,,,,,2,1,,1,2.079441542
2012-13,Western,60015/09,,,,,1,,,,,1,1,,1,,1.386294361
2012-13,Western,60015/10,1,1,,,1,,,,1,1,,,1,,1.791759469
2012-13,Western,60015/11,,,1,,,1,,1,1,,,,1,,1.609437912
2012-13,Western,60015/12,,1,,,1,,,,1,,,,,,1.098612289
