t,m,j,u,Price
2016-17,Ashanti,Agushie Seed,American Tin (Olonka),8
2016-17,Ashanti,Agushie Seed,Balls,1
2016-17,Ashanti,Agushie Seed,Bowl,2.714285714
2016-17,Ashanti,Agushie Seed,Bundle,4
2016-17,Ashanti,Agushie Seed,Gram,1
2016-17,Ashanti,Agushie Seed,Heap,1.381313131
2016-17,Ashanti,Agushie Seed,Margarin tin,5.512698413
2016-17,Ashanti,Agushie Seed,Mini bag,2
2016-17,Ashanti,Agushie Seed,Other unit,1
2016-17,Ashanti,Agushie Seed,Pound,5
2016-17,Ashanti,Agushie Seed,Single,1.99122807
2016-17,Ashanti,Agushie Seed,Tin,1.857142857
2016-17,Ashanti,Akpeteshie,Beer bottle,7.6
2016-17,Ashanti,Akpeteshie,Bowl,0.5
2016-17,Ashanti,Akpeteshie,Fanta bottle,8.25
2016-17,Ashanti,Akpeteshie,Other unit,25
2016-17,Ashanti,Akpeteshie,Single,1
2016-17,Ashanti,Akpeteshie,Tot (25mls),0.6318696345
2016-17,Ashanti,Apple,Balls,1
2016-17,Ashanti,Apple,Heap,1
2016-17,Ashanti,Apple,Piece,1
2016-17,Ashanti,Apple,Single,2.138167388
2016-17,Ashanti,Avocado,Heap,2
2016-17,Ashanti,Avocado,Single,2.383530824
2016-17,Ashanti,Bambara Bean,Margarin tin,9
2016-17,Ashanti,Banana,Bowl,2.5
2016-17,Ashanti,Banana,Bunch,4.212421646
2016-17,Ashanti,Banana,Bundle,4.25
2016-17,Ashanti,Banana,Fingers,0.4443939473
2016-17,Ashanti,Banana,Heap,2.619642857
2016-17,Ashanti,Banana,Piece,0.2666666667
2016-17,Ashanti,Banana,Single,0.5127893495
2016-17,Ashanti,Beef,Bowl,4
2016-17,Ashanti,Beef,Heap,7.493452523
2016-17,Ashanti,Beef,Kilogram,0
2016-17,Ashanti,Beef,Piece,3.8
2016-17,Ashanti,Beef,Pound,9.409941543
2016-17,Ashanti,Beef,Single,4.598333333
2016-17,Ashanti,Beef (corned),Hours,9
2016-17,Ashanti,Beef (corned),Single,18.3
2016-17,Ashanti,Beef (corned),Tin,7.066713352
2016-17,Ashanti,Beef (face),Heap,9
2016-17,Ashanti,Beef (face),Pound,9.579844961
2016-17,Ashanti,Beef (leg),Gram,20
2016-17,Ashanti,Beef (leg),Heap,9.845822707
2016-17,Ashanti,Beef (leg),Piece,1.755430672
2016-17,Ashanti,Beef (leg),Pound,12.53488372
2016-17,Ashanti,Beef (leg),Single,15.5982906
2016-17,Ashanti,Beef (offal),Heap,5.936139332
2016-17,Ashanti,Beef (offal),Kilogram,9.25
2016-17,Ashanti,Beef (offal),Other unit,4
2016-17,Ashanti,Beef (offal),Piece,2.416666667
2016-17,Ashanti,Beef (offal),Pound,11.02197802
2016-17,Ashanti,Beef (offal),Single,3.446428571
2016-17,Ashanti,Beef (steak),Heap,6.028455285
2016-17,Ashanti,Beef (steak),Piece,6.665079365
2016-17,Ashanti,Beef (steak),Pound,9.278953369
2016-17,Ashanti,Beef (steak),Single,3.625
2016-17,Ashanti,Beer,Beer bottle,4.41692144
2016-17,Ashanti,Beer,Bowl,1
2016-17,Ashanti,Beer,Crate,57.5
2016-17,Ashanti,Beer,Other unit,3.916666667
2016-17,Ashanti,Beer,Single,4.758665077
2016-17,Ashanti,Biscuit,Packet,3.941991342
2016-17,Ashanti,Biscuit,Piece,1.266666667
2016-17,Ashanti,Biscuit,Satchet,1.086857143
2016-17,Ashanti,Biscuit,Single,1.823300214
2016-17,Ashanti,Bitters,Beer bottle,9
2016-17,Ashanti,Bitters,Fanta bottle,7
2016-17,Ashanti,Bitters,Other unit,0.9
2016-17,Ashanti,Bitters,Satchet,0.8283950617
2016-17,Ashanti,Bitters,Single,10.55555556
2016-17,Ashanti,Bitters,Tot (25mls),0.8678371793
2016-17,Ashanti,Bread,Loaf,2.727131864
2016-17,Ashanti,Bread,Piece,1.106060606
2016-17,Ashanti,Cabbage,Bowl,1
2016-17,Ashanti,Cabbage,Single,3
2016-17,Ashanti,Canned Fruits,Packet,1
2016-17,Ashanti,Canned Fruits,Single,3.396825397
2016-17,Ashanti,Carrot,Bowl,2.930107527
2016-17,Ashanti,Carrot,Bunch,5
2016-17,Ashanti,Carrot,Bundle,2.180606061
2016-17,Ashanti,Carrot,Fingers,0.375598698
2016-17,Ashanti,Carrot,Gram,0.9652014652
2016-17,Ashanti,Carrot,Heap,1.808306878
2016-17,Ashanti,Carrot,Piece,0.5488095238
2016-17,Ashanti,Carrot,Single,0.7096843232
2016-17,Ashanti,Cassava (dough),American Tin (Olonka),6.85
2016-17,Ashanti,Cassava (dough),Balls,1.746584101
2016-17,Ashanti,Cassava (dough),Bowl,1.569767442
2016-17,Ashanti,Cassava (dough),Heap,1.226494224
2016-17,Ashanti,Cassava (dough),Margarin tin,1.125
2016-17,Ashanti,Cassava (dried),American Tin (Olonka),3.170454545
2016-17,Ashanti,Cassava (dried),Bowl,5
2016-17,Ashanti,Cassava (dried),Heap,1.833891369
2016-17,Ashanti,Cassava (dried),Margarin tin,1.982954724
2016-17,Ashanti,Cassava (fresh),American Tin (Olonka),2
2016-17,Ashanti,Cassava (fresh),Basket,12.07089728
2016-17,Ashanti,Cassava (fresh),Beer bottle,30
2016-17,Ashanti,Cassava (fresh),Bowl,13.80821918
2016-17,Ashanti,Cassava (fresh),Bucket,13.5
2016-17,Ashanti,Cassava (fresh),Bunch,5.666666667
2016-17,Ashanti,Cassava (fresh),Fingers,1.361904762
2016-17,Ashanti,Cassava (fresh),Gram,0.5
2016-17,Ashanti,Cassava (fresh),Heap,4.240110103
2016-17,Ashanti,Cassava (fresh),Piece,0.5743006993
2016-17,Ashanti,Cassava (fresh),Single,0.7855283933
2016-17,Ashanti,Cassava (fresh),Tubers,1.99776333
2016-17,Ashanti,"Cassava (white, flour)",American Tin (Olonka),6.842105263
2016-17,Ashanti,"Cassava (white, flour)",Bowl,6.4
2016-17,Ashanti,"Cassava (white, flour)",Margarin tin,3.235910826
2016-17,Ashanti,"Cassava (yellow, flour)",American Tin (Olonka),5.821428571
2016-17,Ashanti,"Cassava (yellow, flour)",Bowl,8
2016-17,Ashanti,"Cassava (yellow, flour)",Margarin tin,2.805
2016-17,Ashanti,Cerelac (Baby food),American Tin (Olonka),8
2016-17,Ashanti,Cerelac (Baby food),Gram,11.24736842
2016-17,Ashanti,Cerelac (Baby food),Margarin tin,2
2016-17,Ashanti,Cerelac (Baby food),Other unit,4
2016-17,Ashanti,Cerelac (Baby food),Packet,5.865151515
2016-17,Ashanti,Cerelac (Baby food),Satchet,3.850859788
2016-17,Ashanti,Cerelac (Baby food),Tin,12.20168622
2016-17,Ashanti,Chewing Gum,Blister / Strip,2
2016-17,Ashanti,Chewing Gum,Millilitre,0.2
2016-17,Ashanti,Chewing Gum,Packet,2.972142857
2016-17,Ashanti,Chewing Gum,Piece,1.1
2016-17,Ashanti,Chewing Gum,Satchet,1.233333333
2016-17,Ashanti,Chewing Gum,Single,0.9675811688
2016-17,Ashanti,Chewing Gum,Stick,0.2
2016-17,Ashanti,Chicken (breast),Heap,3.5
2016-17,Ashanti,Chicken (breast),Kilogram,7
2016-17,Ashanti,Chicken (breast),Other unit,5
2016-17,Ashanti,Chicken (breast),Piece,1.6
2016-17,Ashanti,Chicken (breast),Pound,6
2016-17,Ashanti,Chicken (breast),Single,2.714285714
2016-17,Ashanti,Chicken (broiler),Heap,5.5
2016-17,Ashanti,Chicken (broiler),Kilogram,14
2016-17,Ashanti,Chicken (broiler),Piece,10.04166667
2016-17,Ashanti,Chicken (broiler),Pound,10.0625
2016-17,Ashanti,Chicken (broiler),Single,25.93650794
2016-17,Ashanti,Chicken (frozen),Heap,2
2016-17,Ashanti,Chicken (frozen),Kilogram,7.166666667
2016-17,Ashanti,Chicken (frozen),Pound,5.2
2016-17,Ashanti,Chicken (frozen),Single,2.166666667
2016-17,Ashanti,Chicken (gizzard),Heap,5
2016-17,Ashanti,Chicken (gizzard),Kilogram,11.66666667
2016-17,Ashanti,Chicken (gizzard),Other unit,10
2016-17,Ashanti,Chicken (gizzard),Packet,12.33333333
2016-17,Ashanti,Chicken (gizzard),Pound,5
2016-17,Ashanti,Chicken (gizzard),Single,10.75
2016-17,Ashanti,Chicken (live),Single,33.50321558
2016-17,Ashanti,Chicken (thigh),Bowl,12.83333333
2016-17,Ashanti,Chicken (thigh),Box/Carton,82.5
2016-17,Ashanti,Chicken (thigh),Gram,5.433333333
2016-17,Ashanti,Chicken (thigh),Heap,6.917606266
2016-17,Ashanti,Chicken (thigh),Kilogram,9.778333333
2016-17,Ashanti,Chicken (thigh),Millilitre,5
2016-17,Ashanti,Chicken (thigh),Other unit,10
2016-17,Ashanti,Chicken (thigh),Piece,5.569223986
2016-17,Ashanti,Chicken (thigh),Pound,8.928767448
2016-17,Ashanti,Chicken (thigh),Single,6.578238145
2016-17,Ashanti,Chicken (wing),Bowl,1
2016-17,Ashanti,Chicken (wing),Heap,5.3
2016-17,Ashanti,Chicken (wing),Kilogram,12
2016-17,Ashanti,Chicken (wing),Piece,0.9261904762
2016-17,Ashanti,Chicken (wing),Pound,8.944444444
2016-17,Ashanti,Chicken (wing),Single,2.987615776
2016-17,Ashanti,Chocolate,Bar,4
2016-17,Ashanti,Chocolate,Satchet,7
2016-17,Ashanti,Chocolate,Single,6
2016-17,Ashanti,Cigarette,Box/Carton,1.5
2016-17,Ashanti,Cigarette,Other unit,0.5
2016-17,Ashanti,Cigarette,Packet,3.358333333
2016-17,Ashanti,Cigarette,Single,0.6047619048
2016-17,Ashanti,Cigarette,Stick,0.2
2016-17,Ashanti,Cocoa (milk powder beverages),Blister / Strip,9.333333333
2016-17,Ashanti,Cocoa (milk powder beverages),Box/Carton,8
2016-17,Ashanti,Cocoa (milk powder beverages),Gram,1.089166667
2016-17,Ashanti,Cocoa (milk powder beverages),Heap,0.6
2016-17,Ashanti,Cocoa (milk powder beverages),Loaf,1
2016-17,Ashanti,Cocoa (milk powder beverages),Maxi bag,1
2016-17,Ashanti,Cocoa (milk powder beverages),Other unit,0.7916666667
2016-17,Ashanti,Cocoa (milk powder beverages),Packet,2.659649123
2016-17,Ashanti,Cocoa (milk powder beverages),Piece,0.9375
2016-17,Ashanti,Cocoa (milk powder beverages),Pound,1
2016-17,Ashanti,Cocoa (milk powder beverages),Satchet,1.29125013
2016-17,Ashanti,Cocoa (milk powder beverages),Set,9.333333333
2016-17,Ashanti,Cocoa (milk powder beverages),Single,1.436069515
2016-17,Ashanti,Cocoa (milk powder beverages),Tin,12.79181548
2016-17,Ashanti,Cocoa Powder,Single,6.1
2016-17,Ashanti,Coconut (dried),Single,2
2016-17,Ashanti,Coconut (fresh),Balls,1.391025641
2016-17,Ashanti,Coconut (fresh),Maxi bag,2
2016-17,Ashanti,Coconut (fresh),Single,1.90427685
2016-17,Ashanti,Cocoyam,Basket,11.8974359
2016-17,Ashanti,Cocoyam,Bowl,14.11428571
2016-17,Ashanti,Cocoyam,Bucket,6
2016-17,Ashanti,Cocoyam,Heap,5.765185302
2016-17,Ashanti,Cocoyam,Mini bag,8
2016-17,Ashanti,Cocoyam,Single,0.6032051282
2016-17,Ashanti,Cocoyam,Tubers,1.173469388
2016-17,Ashanti,Cocoyam Leaves,American Tin (Olonka),1.666666667
2016-17,Ashanti,Cocoyam Leaves,Bowl,3.216666667
2016-17,Ashanti,Cocoyam Leaves,Bunch,1.095238095
2016-17,Ashanti,Cocoyam Leaves,Bundle,1.379525806
2016-17,Ashanti,Cocoyam Leaves,Gram,1.180555556
2016-17,Ashanti,Cocoyam Leaves,Heap,1.312060002
2016-17,Ashanti,Cocoyam Leaves,Mini bag,2
2016-17,Ashanti,Cocoyam Leaves,Other unit,1
2016-17,Ashanti,Cocoyam Leaves,Single,1.298245614
2016-17,Ashanti,Coffee,Gram,1
2016-17,Ashanti,Coffee,Packet,0.4
2016-17,Ashanti,Coffee,Satchet,0.9625
2016-17,Ashanti,Coffee,Single,0.725
2016-17,Ashanti,Condiments,Bar,0.1666666667
2016-17,Ashanti,Condiments,Box/Carton,7.375
2016-17,Ashanti,Condiments,Bundle,1
2016-17,Ashanti,Condiments,Gram,0.3971085859
2016-17,Ashanti,Condiments,Heap,0.8381529582
2016-17,Ashanti,Condiments,Millilitre,0.2125
2016-17,Ashanti,Condiments,Other unit,0.21
2016-17,Ashanti,Condiments,Packet,7.359375
2016-17,Ashanti,Condiments,Piece,0.1944734453
2016-17,Ashanti,Condiments,Satchet,0.8196146953
2016-17,Ashanti,Condiments,Set,1
2016-17,Ashanti,Condiments,Single,0.2245469791
2016-17,Ashanti,Corflake,Packet,17.33333333
2016-17,Ashanti,Corflake,Single,21.375
2016-17,Ashanti,Cowpea,American Tin (Olonka),8.071428571
2016-17,Ashanti,Cowpea,Bowl,8.083333333
2016-17,Ashanti,Cowpea,Bunch,5
2016-17,Ashanti,Cowpea,Heap,1.87
2016-17,Ashanti,Cowpea,Loaf,2.5
2016-17,Ashanti,Cowpea,Margarin tin,2.844926304
2016-17,Ashanti,Cowpea,Mini bag,3
2016-17,Ashanti,Cowpea,Other unit,1
2016-17,Ashanti,Cowpea,Single,1.923076923
2016-17,Ashanti,Cowpea,Tin,2
2016-17,Ashanti,Crab,Heap,3.547222222
2016-17,Ashanti,Crab,Single,1.11430317
2016-17,Ashanti,Curry Power,Crate,2
2016-17,Ashanti,Curry Power,Gram,0.6666666667
2016-17,Ashanti,Curry Power,Margarin tin,10
2016-17,Ashanti,Curry Power,Packet,1
2016-17,Ashanti,Curry Power,Piece,0.5
2016-17,Ashanti,Curry Power,Satchet,0.581670446
2016-17,Ashanti,Curry Power,Single,0.7014285714
2016-17,Ashanti,Dawadawa,Balls,0.7443626635
2016-17,Ashanti,Dawadawa,Gram,1.75
2016-17,Ashanti,Dawadawa,Heap,2.075757576
2016-17,Ashanti,Dawadawa,Other unit,0.8333333333
2016-17,Ashanti,Dawadawa,Packet,1
2016-17,Ashanti,Dawadawa,Single,0.7793877551
2016-17,Ashanti,Eggplant,American Tin (Olonka),8.230769231
2016-17,Ashanti,Eggplant,Basket,4.5
2016-17,Ashanti,Eggplant,Beer bottle,3
2016-17,Ashanti,Eggplant,Bowl,2.898393914
2016-17,Ashanti,Eggplant,Bucket,5
2016-17,Ashanti,Eggplant,Bunch,0.8166666667
2016-17,Ashanti,Eggplant,Gram,0.1833333333
2016-17,Ashanti,Eggplant,Heap,1.586112889
2016-17,Ashanti,Eggplant,Millilitre,0.1916666667
2016-17,Ashanti,Eggplant,Other unit,0.5
2016-17,Ashanti,Eggplant,Piece,0.3
2016-17,Ashanti,Eggplant,Rolls,1
2016-17,Ashanti,Eggplant,Single,0.2567969117
2016-17,Ashanti,Eggplant,Tubers,1
2016-17,Ashanti,Eggplant Leaf,Bowl,1
2016-17,Ashanti,Eggs,Crate,15.74109195
2016-17,Ashanti,Eggs,Dozen,12.5
2016-17,Ashanti,Eggs,Gram,0.5
2016-17,Ashanti,Eggs,Millilitre,0.5888888889
2016-17,Ashanti,Eggs,Piece,0.5546296296
2016-17,Ashanti,Eggs,Satchet,0.7
2016-17,Ashanti,Eggs,Single,0.6972175489
2016-17,Ashanti,Fish (canned),1000 kg /metric tonnes/tonnes,2.95
2016-17,Ashanti,Fish (canned),Box/Carton,59
2016-17,Ashanti,Fish (canned),Gram,2.233333333
2016-17,Ashanti,Fish (canned),Heap,2
2016-17,Ashanti,Fish (canned),Margarin tin,3
2016-17,Ashanti,Fish (canned),Piece,3.287878788
2016-17,Ashanti,Fish (canned),Pound,2.5
2016-17,Ashanti,Fish (canned),Satchet,1.5
2016-17,Ashanti,Fish (canned),Single,2.725591885
2016-17,Ashanti,Fish (canned),Tin,2.65864091
2016-17,Ashanti,Fish (dried),Fingers,5
2016-17,Ashanti,Fish (dried),Gram,2.266666667
2016-17,Ashanti,Fish (dried),Heap,2.056214317
2016-17,Ashanti,Fish (dried),Millilitre,2.416666667
2016-17,Ashanti,Fish (dried),Piece,1.571759259
2016-17,Ashanti,Fish (dried),Pound,2.333333333
2016-17,Ashanti,Fish (dried),Rolls,2
2016-17,Ashanti,Fish (dried),Single,2.190617363
2016-17,Ashanti,Fish (fried),American Tin (Olonka),20
2016-17,Ashanti,Fish (fried),Bowl,7.416666667
2016-17,Ashanti,Fish (fried),Fingers,1.25
2016-17,Ashanti,Fish (fried),Gram,1.231540777
2016-17,Ashanti,Fish (fried),Heap,2.46253813
2016-17,Ashanti,Fish (fried),Margarin tin,8.571428571
2016-17,Ashanti,Fish (fried),Piece,1.207417582
2016-17,Ashanti,Fish (fried),Single,2.005978901
2016-17,Ashanti,Fish (salted),American Tin (Olonka),1
2016-17,Ashanti,Fish (salted),Bowl,2.05
2016-17,Ashanti,Fish (salted),Fingers,3
2016-17,Ashanti,Fish (salted),Gram,1
2016-17,Ashanti,Fish (salted),Heap,1.165422454
2016-17,Ashanti,Fish (salted),Millilitre,0.8666666667
2016-17,Ashanti,Fish (salted),Piece,0.7667301587
2016-17,Ashanti,Fish (salted),Single,0.9066384678
2016-17,Ashanti,"Fish (smoked, river)",American Tin (Olonka),20
2016-17,Ashanti,"Fish (smoked, river)",Bowl,6.4
2016-17,Ashanti,"Fish (smoked, river)",Fingers,5.064102564
2016-17,Ashanti,"Fish (smoked, river)",Gram,3.123732094
2016-17,Ashanti,"Fish (smoked, river)",Heap,7.035749616
2016-17,Ashanti,"Fish (smoked, river)",Margarin tin,2
2016-17,Ashanti,"Fish (smoked, river)",Millilitre,4.25
2016-17,Ashanti,"Fish (smoked, river)",Other unit,3
2016-17,Ashanti,"Fish (smoked, river)",Piece,3.106685274
2016-17,Ashanti,"Fish (smoked, river)",Single,4.317418623
2016-17,Ashanti,"Fish (smoked, sea)",American Tin (Olonka),5
2016-17,Ashanti,"Fish (smoked, sea)",Basket,35
2016-17,Ashanti,"Fish (smoked, sea)",Bowl,10.17385057
2016-17,Ashanti,"Fish (smoked, sea)",Fingers,7.5
2016-17,Ashanti,"Fish (smoked, sea)",Gram,2.175147236
2016-17,Ashanti,"Fish (smoked, sea)",Heap,7.744188783
2016-17,Ashanti,"Fish (smoked, sea)",Millilitre,2
2016-17,Ashanti,"Fish (smoked, sea)",Other unit,2
2016-17,Ashanti,"Fish (smoked, sea)",Piece,2.12962963
2016-17,Ashanti,"Fish (smoked, sea)",Pound,7.619047619
2016-17,Ashanti,"Fish (smoked, sea)",Single,3.364754459
2016-17,Ashanti,Garlic,American Tin (Olonka),1
2016-17,Ashanti,Garlic,Balls,0.7132441296
2016-17,Ashanti,Garlic,Bowl,1.75
2016-17,Ashanti,Garlic,Bunch,0.9379370629
2016-17,Ashanti,Garlic,Bundle,1.052631579
2016-17,Ashanti,Garlic,Gram,1.041666667
2016-17,Ashanti,Garlic,Heap,1.1958
2016-17,Ashanti,Garlic,Millilitre,1
2016-17,Ashanti,Garlic,Other unit,0.696875
2016-17,Ashanti,Garlic,Packet,14
2016-17,Ashanti,Garlic,Piece,0.1642857143
2016-17,Ashanti,Garlic,Satchet,0.5
2016-17,Ashanti,Garlic,Single,0.8647743638
2016-17,Ashanti,Gin,Tot (25mls),1.240740741
2016-17,Ashanti,Ginger,American Tin (Olonka),10
2016-17,Ashanti,Ginger,Bowl,1.819393939
2016-17,Ashanti,Ginger,Bunch,1
2016-17,Ashanti,Ginger,Bundle,1.078703704
2016-17,Ashanti,Ginger,Fingers,0.25
2016-17,Ashanti,Ginger,Gram,0.25
2016-17,Ashanti,Ginger,Heap,1.92495422
2016-17,Ashanti,Ginger,Margarin tin,3.730392157
2016-17,Ashanti,Ginger,Piece,0.3337301587
2016-17,Ashanti,Ginger,Plate (food),1
2016-17,Ashanti,Ginger,Satchet,0.5
2016-17,Ashanti,Ginger,Single,0.5479166667
2016-17,Ashanti,Goat,Gram,5
2016-17,Ashanti,Goat,Heap,7.964371981
2016-17,Ashanti,Goat,Kilogram,10.60416667
2016-17,Ashanti,Goat,Packet,10
2016-17,Ashanti,Goat,Pound,11.65551537
2016-17,Ashanti,Goat,Satchet,5.333333333
2016-17,Ashanti,Goat,Single,159.3636364
2016-17,Ashanti,Goat,Tin,12
2016-17,Ashanti,Grape,Bowl,5
2016-17,Ashanti,Grape,Bunch,8
2016-17,Ashanti,Grape,Heap,6.5
2016-17,Ashanti,Grape,Packet,6.071428571
2016-17,Ashanti,Grape,Single,0.5
2016-17,Ashanti,Groundnut,American Tin (Olonka),8.5
2016-17,Ashanti,Groundnut,Balls,1.774598098
2016-17,Ashanti,Groundnut,Bowl,3.907381909
2016-17,Ashanti,Groundnut,Bucket,13.5
2016-17,Ashanti,Groundnut,Bunch,1.5
2016-17,Ashanti,Groundnut,Bundle,1.95
2016-17,Ashanti,Groundnut,Gram,2.061781609
2016-17,Ashanti,Groundnut,Heap,1.412395827
2016-17,Ashanti,Groundnut,Margarin tin,5.544594595
2016-17,Ashanti,Groundnut,Maxi bag,1.5
2016-17,Ashanti,Groundnut,Mini bag,1.75
2016-17,Ashanti,Groundnut,Other unit,1.89947003
2016-17,Ashanti,Groundnut,Packet,1
2016-17,Ashanti,Groundnut,Piece,1
2016-17,Ashanti,Groundnut,Satchet,0.8745098039
2016-17,Ashanti,Groundnut,Single,1.791193277
2016-17,Ashanti,Groundnut,Tin,31.375
2016-17,Ashanti,Guinea corn/sorghum,Bowl,2
2016-17,Ashanti,Guinea corn/sorghum,Maxi bag,100
2016-17,Ashanti,Guinea corn/sorghum,Tin,2
2016-17,Ashanti,Guineafowl,Single,36.66666667
2016-17,Ashanti,Herring (smoked),American Tin (Olonka),16.03685897
2016-17,Ashanti,Herring (smoked),Basket,1
2016-17,Ashanti,Herring (smoked),Bowl,8.590509259
2016-17,Ashanti,Herring (smoked),Fingers,0.6205882353
2016-17,Ashanti,Herring (smoked),Gram,1.554502702
2016-17,Ashanti,Herring (smoked),Heap,4.025932088
2016-17,Ashanti,Herring (smoked),Margarin tin,5
2016-17,Ashanti,Herring (smoked),Other unit,3.392857143
2016-17,Ashanti,Herring (smoked),Piece,1.057111318
2016-17,Ashanti,Herring (smoked),Rolls,2
2016-17,Ashanti,Herring (smoked),Set,2
2016-17,Ashanti,Herring (smoked),Single,2.26941774
2016-17,Ashanti,Herring (smoked),Tin,1
2016-17,Ashanti,Honey,Beer bottle,21.54545455
2016-17,Ashanti,Honey,Bowl,15.625
2016-17,Ashanti,Honey,Bundle,2
2016-17,Ashanti,Honey,Fanta bottle,13.4
2016-17,Ashanti,Honey,Litres,16.36363636
2016-17,Ashanti,Honey,Single,15.18181818
2016-17,Ashanti,Ice Cream,Packet,1
2016-17,Ashanti,Ice Cream,Piece,1
2016-17,Ashanti,Ice Cream,Satchet,0.925
2016-17,Ashanti,Ice Cream,Single,1.034895833
2016-17,Ashanti,Instant Noodle,Packet,1.822222222
2016-17,Ashanti,Instant Noodle,Satchet,1.470833333
2016-17,Ashanti,Instant Noodle,Single,2.924610402
2016-17,Ashanti,Juice,Blister / Strip,0.6
2016-17,Ashanti,Juice,Box/Carton,15.24697802
2016-17,Ashanti,Juice,Crate,24
2016-17,Ashanti,Juice,Dozen,12
2016-17,Ashanti,Juice,Gram,1.14
2016-17,Ashanti,Juice,Litres,77.33333333
2016-17,Ashanti,Juice,Other unit,7.854166667
2016-17,Ashanti,Juice,Packet,3.765619277
2016-17,Ashanti,Juice,Piece,1.15
2016-17,Ashanti,Juice,Single,3.790603479
2016-17,Ashanti,Jute Leaf,Bowl,2.333333333
2016-17,Ashanti,Kapla,American Tin (Olonka),8
2016-17,Ashanti,Kapla,Bowl,10.91123188
2016-17,Ashanti,Kapla,Box/Carton,40
2016-17,Ashanti,Kapla,Bucket,25
2016-17,Ashanti,Kapla,Fingers,2.271299534
2016-17,Ashanti,Kapla,Gram,1.70216553
2016-17,Ashanti,Kapla,Heap,5.517352704
2016-17,Ashanti,Kapla,Kilogram,7.21372549
2016-17,Ashanti,Kapla,Millilitre,2
2016-17,Ashanti,Kapla,Packet,10
2016-17,Ashanti,Kapla,Piece,1.126767677
2016-17,Ashanti,Kapla,Pound,8.585434924
2016-17,Ashanti,Kapla,Single,1.943833002
2016-17,Ashanti,Kapla,Tin,7
2016-17,Ashanti,Lime,Bowl,2.5
2016-17,Ashanti,Lime,Single,0.2952380952
2016-17,Ashanti,Macaroni,Packet,3.75
2016-17,Ashanti,Macaroni,Satchet,2.75
2016-17,Ashanti,Macaroni,Single,2.675
2016-17,Ashanti,Mackerel (processed),Blister / Strip,5
2016-17,Ashanti,Mackerel (processed),Box/Carton,53
2016-17,Ashanti,Mackerel (processed),Gram,3.101282051
2016-17,Ashanti,Mackerel (processed),Heap,4.5
2016-17,Ashanti,Mackerel (processed),Kilogram,4.25
2016-17,Ashanti,Mackerel (processed),Margarin tin,3.3
2016-17,Ashanti,Mackerel (processed),Piece,2.5
2016-17,Ashanti,Mackerel (processed),Single,4.231073794
2016-17,Ashanti,Mackerel (processed),Tin,3.927694396
2016-17,Ashanti,Maize (cob),American Tin (Olonka),6.395555556
2016-17,Ashanti,Maize (cob),Bowl,8.25
2016-17,Ashanti,Maize (cob),Single,6.95
2016-17,Ashanti,Maize (flour/dough),American Tin (Olonka),8.701683502
2016-17,Ashanti,Maize (flour/dough),Balls,1.742374139
2016-17,Ashanti,Maize (flour/dough),Bowl,3.183970657
2016-17,Ashanti,Maize (flour/dough),Heap,2.383320858
2016-17,Ashanti,Maize (flour/dough),Margarin tin,2
2016-17,Ashanti,Maize (grain),American Tin (Olonka),7.623809524
2016-17,Ashanti,Maize (grain),Bowl,11.74869219
2016-17,Ashanti,Maize (grain),Bucket,13.5
2016-17,Ashanti,Malt Drinks (bottle),Box/Carton,32
2016-17,Ashanti,Malt Drinks (bottle),Crate,52.28571429
2016-17,Ashanti,Malt Drinks (bottle),Dozen,23
2016-17,Ashanti,Malt Drinks (bottle),Fanta bottle,2.5
2016-17,Ashanti,Malt Drinks (bottle),Maxi bag,2
2016-17,Ashanti,Malt Drinks (bottle),Millilitre,2.535714286
2016-17,Ashanti,Malt Drinks (bottle),Other unit,12.625
2016-17,Ashanti,Malt Drinks (bottle),Packet,8.722222222
2016-17,Ashanti,Malt Drinks (bottle),Piece,2.504826038
2016-17,Ashanti,Malt Drinks (bottle),Single,2.61709944
2016-17,Ashanti,Malt Drinks (bottle),Tin,3.1875
2016-17,Ashanti,Malt Drinks (canned),Box/Carton,34.22222222
2016-17,Ashanti,Malt Drinks (canned),Crate,102.0833333
2016-17,Ashanti,Malt Drinks (canned),Gram,2.833333333
2016-17,Ashanti,Malt Drinks (canned),Millilitre,3
2016-17,Ashanti,Malt Drinks (canned),Other unit,3.25
2016-17,Ashanti,Malt Drinks (canned),Piece,3.0625
2016-17,Ashanti,Malt Drinks (canned),Set,25
2016-17,Ashanti,Malt Drinks (canned),Single,3.067197148
2016-17,Ashanti,Malt Drinks (canned),Tin,2.822440476
2016-17,Ashanti,Mango,Basket,7
2016-17,Ashanti,Mango,Bowl,2.2
2016-17,Ashanti,Mango,Heap,1.660229277
2016-17,Ashanti,Mango,Piece,2
2016-17,Ashanti,Mango,Single,1.782241232
2016-17,Ashanti,Margarine,Beer bottle,3.5
2016-17,Ashanti,Margarine,Bowl,4.754545455
2016-17,Ashanti,Margarine,Fanta bottle,2.85
2016-17,Ashanti,Margarine,Gram,0.4184179894
2016-17,Ashanti,Margarine,Heap,3
2016-17,Ashanti,Margarine,Litres,6.25
2016-17,Ashanti,Margarine,Margarin tin,3
2016-17,Ashanti,Margarine,Packet,4
2016-17,Ashanti,Margarine,Satchet,0.6557692308
2016-17,Ashanti,Margarine,Single,2.98952381
2016-17,Ashanti,Milk (evaporated),Box/Carton,59.5
2016-17,Ashanti,Milk (evaporated),Dozen,20
