i,t,m,Energy,Protein,Fiber,Folate,Calcium,Carbohydrate,Iron,Niacin,Riboflavin,Thiamin,Vitamin A,Vitamin B-12,Vitamin B-6,Vitamin C,Zinc,Magnesium,Phosphorus,Potassium,Vitamin E,Vitamin K
2113000909,2011-12,Eastern,3.178326822620922,5.999911040440032,3.9795779906568964,4.213421566227202,0.9377360027565682,6.5403227789328815,4.010184084677074,4.414751965184327,2.9912019862177583,4.67236948377342,1.2048153319814165,5.398359016162796,7.573626059481968,5.42863483190302,2.7172597183061735,0.0007029067895872469,0.00021247224626224961,0.0006045207011367094,0.0,0.0
2113000910,2011-12,Eastern,2.521317839084311,4.513468855263195,3.1234852692368906,3.226732213064973,0.91008620394362,5.7835770315030155,3.1419823700703886,3.4963852858030156,2.464208787680488,3.6222059100358277,0.9425107880887732,4.555953618351292,5.677852275658741,3.9203567083996016,2.0867099889892486,0.0005202825088558022,0.00018432866028034135,0.0005296905466491712,0.0,0.0
2113300120904,2011-12,Central,7.101553377890034,18.351154972083236,7.406768149914855,9.771499945915487,1.6228020562379966,10.683352850462212,6.9962870619173385,9.873766024542004,8.177407924319452,9.34249193694106,3.2322912087853064,19.5959042530594,17.97092219127764,18.278902567268126,5.700479623996775,0.0011524714650336875,0.000182749046598199,0.0007179628673871324,0.0,0.0
2113300210803,2011-12,Central,2.2954877751734033,4.590552878999815,2.3696559267107475,2.9553730173792774,0.7017756691649896,5.023740815388094,3.23920988934995,2.9769619724613205,2.4269576808479276,2.942088589491988,1.0108106757069486,5.898179411154174,5.417052504443484,4.001019509536002,1.725210326411213,0.00029938103482174736,7.507915013889133e-05,0.000333247512487172,0.0,0.0
2113300210804,2011-12,Central,3.621905278273245,8.285956818837514,3.7617196697401583,4.830897007124974,1.0446654284774939,6.248284240227836,4.752271099542854,5.109987952472249,3.989835993251784,4.676913868738408,1.5745840055482239,10.189404755530061,9.136933134419396,7.472988516315227,2.949874395088602,0.00043618576866824967,0.00010044941975555127,0.0003844546488452782,0.0,0.0
211530004040208,2011-12,Central,1.7673585576304953,3.501603098131628,1.935784506662287,2.2298639238903584,0.5831654104472177,4.070737692264674,1.6910221906376222,2.2901412898172913,1.8364732727459978,2.315993144408034,0.8760954738278263,4.015920176504498,4.147055120182515,3.2541381890061616,1.4554000542855414,0.0001440084048426029,4.1268080193701125e-05,0.00015963806660252927,0.0,0.0
2115300040703,2011-12,Central,1.6203381542947537,3.4540725989166967,1.757296160089039,2.1660850222363717,0.47536713628606525,3.488811548089149,1.7536111509681913,2.156322046709023,1.7559258308710013,2.21386246602892,0.7631652881857244,4.10997464259314,4.037576420062994,2.9828297984865326,1.3214191604443164,0.00021833753978413688,5.619710541034887e-05,0.0002162693080581328,0.0,0.0
2116300110803,2011-12,Central,2.1941476597302065,5.025464242727233,2.4448062520000513,3.0501765411209347,0.580172116312723,4.008874458434768,2.1587541419941267,2.9456674095651514,2.249067444534794,3.0295974576747775,1.0012769784196227,5.242492127486251,5.660567671415559,4.889847207350521,1.898862273495882,0.0002871719399536334,6.614832769202243e-05,0.00022296346183130436,0.0,0.0
2121000304,2011-12,Eastern,0.9228929622571177,1.7486859981820138,1.1493830442890725,1.320125994943811,0.3223899939702389,2.0153621031546396,1.1848859957123157,1.1991636850971052,0.9392962491379633,1.3870994901219722,0.46404618935628594,1.6571434002889287,2.1367448932829074,1.5851019594653546,0.7789626730444219,0.00015802245824642427,4.503640060023092e-05,0.0001442985513202507,0.0,0.0
2121000306,2011-12,Eastern,1.0786909764166006,1.8309017128963094,1.4155901733225542,1.4688692690436977,0.3875687921687301,2.8301376449486355,1.1899826497062715,1.4027343585329783,1.048379409738954,1.5903870500249637,0.5956632474877372,1.672718790021138,2.4309451906876345,1.8215004938907233,0.904278620388157,0.00015674305634517778,5.388757630553192e-05,0.00016309699810792666,0.0,0.0
2121000307,2011-12,Eastern,2.581774401152163,5.374468988179636,3.022875506002568,3.178468833217414,0.7785325178731552,4.349349256108406,3.409159241642814,3.42284522290305,2.636401552849948,3.416546725499468,1.4019677361112577,4.798755187494198,5.14715212205024,4.51373790278253,2.3824939201242095,0.000507541550802365,0.00010108711385275318,0.0003724035741065589,0.0,0.0
2121000309,2011-12,Eastern,1.325225534176025,2.3549770365761558,1.6240667018860449,1.7178313392720546,0.49853546741808674,2.9058664404032153,1.8420493381129688,1.749237227277967,1.2866685374272022,1.93501709978363,0.5743720512254451,2.28926905805058,2.986679365885666,2.0424790038984564,1.1022875994624897,0.0003090600801276378,0.00010409957788730315,0.00030862959661095,0.0,0.0
2123000802,2011-12,Eastern,1.8965650217936068,3.5107961586297813,2.328424382638715,2.4731150267019473,0.6767883850370221,4.351870823637593,2.3979777833778813,2.5421279336307716,1.9502403308394105,2.6399857226769523,1.0246264943492573,3.4057582267721087,4.047573361558139,3.016841947456358,1.662319399825726,0.0002927246633107387,8.322992292641154e-05,0.0002796512055243706,0.0,0.0
2123000803,2011-12,Eastern,1.634882541934616,3.765473306090239,2.013654051109028,2.2212750833856165,0.4840766993708018,2.8749483671500062,1.6737294912756657,2.3387203319486543,1.7845191189816314,2.459512478989941,0.9265845779751795,3.161185264448241,3.917080265236778,3.124765361755542,1.6555690952362938,0.0002509362710531781,5.312491077548137e-05,0.00017079036728544127,0.0,0.0
2123000804,2011-12,Eastern,3.3743803110977733,9.477570404439005,4.03694551361503,5.4774427527171765,1.031095635128601,5.448308266328659,3.9253026587891235,5.2390514999595075,4.1077810754533,5.451772559514974,2.067508875213889,7.8250634177814975,9.274767295981375,9.416474214886183,3.5430275690595043,0.0008954098678059156,0.00013674245718755498,0.0004895258786916654,0.0,0.0
2123000806,2011-12,Eastern,1.6484313964023614,2.9764864086664584,2.0587931758240137,2.278182122398942,0.5668841022662909,4.041625923121503,2.011836960186779,2.246665701351827,1.6248923283759755,2.418385493578812,0.850119830139674,2.755964970457254,3.9121150616605975,2.807866695325209,1.4163650153432616,0.00019790976834559732,5.9281021942528e-05,0.0001997727898504573,0.0,0.0
2123000807,2011-12,Eastern,2.38553127631361,4.660919801141798,2.8440794683087844,3.0375119233183554,0.7949369816128907,5.172174238105007,3.196638288501208,3.4582432123065865,2.350047999628598,3.266921681387397,1.018835464263274,4.753472482110255,5.351530993856524,3.478589472272749,2.0323551630854637,0.0003188252261298478,0.00010051255929333493,0.0003071202064692954,0.0,0.0
