i,t,m,Energy,Protein,Fiber,Folate,Calcium,Carbohydrate,Iron,Niacin,Riboflavin,Thiamin,Vitamin A,Vitamin B-12,Vitamin B-6,Vitamin C,Zinc,Magnesium,Phosphorus,Potassium,Vitamin E,Vitamin K
1013000201,2009-10,Central,2.207949007707281,3.375020973437237,2.9118319204946563,2.7564129971885123,0.7291893323562312,5.159097896400339,2.322871996196724,2.550426521074972,2.344151217889582,2.997098180467639,0.978532450300067,2.418490257946925,4.766925164396218,4.128765452874448,1.9745013724332066,0.0,0.0,2.3362525805113883e-05,0.0,0.0
1013000204,2009-10,Central,2.98857485410835,5.3108076275651275,3.9536156631788333,3.987509664391987,0.7652990156102519,5.201948982902889,3.7059614412955737,3.6321538932484825,2.95830859735648,4.231035352302173,1.366380689700177,3.1221439107706286,6.675793230780662,7.1379302294248115,2.9487995441751726,0.0,0.0,2.6962329578081854e-05,0.0,0.0
1013000206,2009-10,Central,7.079794883170639,10.067097644300322,9.094005014794321,9.723545074764791,3.6075474369099085,18.24987010928477,14.26363892123034,8.555543847444621,7.561343933221985,9.268508705725806,3.2481153204717343,10.292875622996496,15.530701043321917,12.561070899811519,5.541838535430366,0.0,0.0,7.844710439844513e-05,0.0,0.0
101300021302,2009-10,Central,3.006002177830466,4.413790180982849,3.8030234490259867,3.497753844693908,0.9633037372292603,6.492705408958277,3.396889791088396,3.316166911861462,3.095021259012182,3.7164812463634034,1.3231583301233318,3.5263009658207407,5.55756908740786,4.7464462522491395,2.6021803829622945,0.0,0.0,3.044170005449058e-05,0.0,0.0
1021000102,2009-10,Central,2.839144104955298,4.740582492914366,3.6785422836072255,3.540508780303815,0.7297015860378819,5.302375106435999,3.6007617200048845,3.34323562765181,2.9052540902441155,3.587047704451142,1.2274997032680672,3.5383829039957293,6.095992034519439,6.081368678215059,2.355067308368776,0.0,0.0,2.2720412668643685e-05,0.0,0.0
1021000108,2009-10,Central,2.2259687363303886,3.204180913697121,2.9744317911116864,3.0524922075774725,0.7816941116083047,5.46138311878972,3.227555712603103,2.4899519308477007,2.315641804290137,3.0795475196110345,0.9133595149516942,2.6109292671318167,5.12443989198507,4.092127988774706,1.7932087142478994,0.0,0.0,2.1525036980493457e-05,0.0,0.0
1021000109,2009-10,Central,2.3661123014601553,3.753091099711437,3.0925479968413803,3.1948558561281004,0.7559397032050155,5.388819932575519,3.506987511348234,2.921915776024272,2.4984017703376886,3.3073283626213885,1.0580956541549256,2.839499574135742,6.096653923407222,5.383508970445671,1.9916422761567172,0.0,0.0,2.2317219628270306e-05,0.0,0.0
1021000110,2009-10,Central,3.073713600377163,4.292774514655114,4.164487679155244,4.180470918428122,1.1744731479212058,7.713481946780866,5.473130022284274,3.4828864443669056,3.1819635743321517,3.9311645292876713,1.2624585658586307,4.036426559452436,7.101937895099473,5.74227913761933,2.347710201739914,0.0,0.0,2.4369595828972657e-05,0.0,0.0
1021000111,2009-10,Central,2.0004741169080518,2.766610330440755,2.6501135696933615,2.4341202996453646,0.6462863576188435,4.656507407083693,2.01667682420011,2.2457012410294226,1.9937522987575047,2.6302065746538394,0.8355652755452027,1.9511145345621799,4.524293791398734,3.618650347610696,1.711587692994273,0.0,0.0,1.7304112587318082e-05,0.0,0.0
1021000113,2009-10,Central,2.1753256349844383,3.374838556638175,2.9747578001035455,2.970278596036642,0.6974899723882652,5.152009276204191,2.666953438580742,2.653236103521013,2.311210881308662,3.0289068264088654,1.0137966431772323,2.4840694375374746,5.06921276083726,4.3064490853275155,1.8665344743637409,0.0,0.0,1.9767290298872532e-05,0.0,0.0
1021000201,2009-10,Central,3.1153375546084523,5.053650619200604,4.16684773208741,4.04991199711578,0.8654068953278624,6.333847093958065,3.3013634820487123,3.6847570251848296,3.2948067442439193,4.256875854231084,1.418364263564228,3.3738905258406784,6.687697636380052,6.28533548912494,2.7633112147548595,0.0,0.0,2.6991632693943504e-05,0.0,0.0
